date,sport,game_id,bet_type,legs,bet_label,odds,true_prob,implied_prob,edge,grade,kelly_frac,bet_amount,bankroll_before,result,pnl,bankroll_after,notes
2026-04-01,MLB,825106,single,1,AZ 勝,2.822,0.4666,0.3544,0.1123,A,0.0261,130,3000.0,WIN,237.0,3237.0,
2026-04-01,MLB,824136,single,1,皇家 勝,2.359,0.5348,0.4239,0.1109,A,0.0289,160,3237.0,WIN,217.0,3454.0,
2026-04-01,MLB,824211,single,1,太空人 勝,2.251,0.5551,0.4442,0.1108,A,0.0299,170,3454.0,WIN,213.0,3667.0,
2026-04-01,MLB,823483,single,1,國民 勝,2.454,0.5066,0.4075,0.0991,A,0.0251,150,3667.0,LOSS,-150,3517.0,
2026-04-01,PARLAY,825106+824136,2-parlay,2,2-串（AZ 勝、皇家 勝）,6.657,0.2496,0.1502,0.6614,PARLAY,0.0117,40,3517.0,WIN,226.0,3743.0,
2026-04-02,MLB,825105,single,1,勇士 勝,2.226,0.5507,0.4492,0.1014,A,0.0276,170,3743.0,WIN,208.0,3951.0,
2026-04-02,MLB,824621,single,1,白襪 勝,2.543,0.4687,0.3932,0.0754,A,0.0187,120,3951.0,WIN,185.0,4136.0,
2026-04-03,MLB,824299,single,1,紅雀 勝,2.059,0.717,0.4857,0.2313,A,0.0675,330,4136.0,LOSS,-330,3806.0,
2026-04-03,MLB,825103,single,1,勇士 勝,2.319,0.5715,0.4312,0.1403,A,0.037,230,3806.0,WIN,303.0,4109.0,
2026-04-03,MLB,824621,single,1,藍鳥 勝,2.241,0.521,0.4462,0.0748,A,0.0203,140,4109.0,LOSS,-140,3969.0,
2026-04-03,MLB,823732,single,1,雙城 勝,2.397,0.4883,0.4172,0.0711,A,0.0183,120,3969.0,WIN,168.0,4137.0,
2026-04-03,PARLAY,824299+825103,2-parlay,2,2-串（紅雀 勝、勇士 勝）,4.775,0.4098,0.2094,0.9565,PARLAY,0.0253,100,4137.0,LOSS,-100,4037.0,
2026-04-04,MLB,825104,single,1,勇士 勝,2.147,0.6589,0.4658,0.1932,A,0.0542,320,4037.0,LOSS,-320,3717.0,
2026-04-04,MLB,823239,single,1,大都會 勝,2.216,0.5668,0.4513,0.1155,A,0.0316,200,3717.0,WIN,243.0,3960.0,
2026-04-04,MLB,824134,single,1,釀酒人 勝,2.056,0.5713,0.4864,0.0849,A,0.0248,160,3960.0,LOSS,-160,3800.0,
2026-04-04,MLB,823569,single,1,洋基 勝,2.121,0.5376,0.4715,0.0661,B,0.015,100,3800.0,WIN,112.0,3912.0,
2026-04-04,PARLAY,825104+823239,2-parlay,2,2-串（勇士 勝、大都會 勝）,4.758,0.3735,0.2102,0.7768,PARLAY,0.0207,80,3912.0,LOSS,-80,3832.0,
2026-04-05,MLB,823729,single,1,雙城 勝,2.994,0.4268,0.334,0.0928,A,0.0209,130,3832.0,LOSS,-130,3702.0,
2026-04-05,MLB,824131,single,1,皇家 勝,2.29,0.5111,0.4367,0.0744,A,0.0198,120,3702.0,LOSS,-120,3582.0,
2026-04-05,MLB,824460,single,1,守護者 勝,2.127,0.535,0.4701,0.0648,B,0.0147,90,3582.0,WIN,101.0,3683.0,
2026-04-05,MLB,823238,single,1,大都會 勝,2.829,0.4178,0.3535,0.0643,B,0.0119,70,3683.0,WIN,128.0,3811.0,
2026-04-06,MLB,824376,single,1,落磯 勝,2.266,0.5827,0.4413,0.1414,A,0.038,240,3811.0,WIN,304.0,4115.0,
2026-04-06,MLB,823886,single,1,紅人 勝,2.635,0.4733,0.3795,0.0938,A,0.0227,160,4115.0,WIN,262.0,4377.0,
