date,sport,game_id,bet_type,legs,bet_label,odds,true_prob,implied_prob,edge,grade,kelly_frac,bet_amount,bankroll_before,result,pnl,bankroll_after,notes
2026-04-01,MLB,823889,single,1,馬林魚 勝,1.728,0.7479,0.5787,0.1692,A,0.0803,240,3000.0,WIN,175.0,3175.0,
2026-04-01,MLB,824136,single,1,皇家 勝,2.359,0.5348,0.4239,0.1109,A,0.0385,150,3175.0,WIN,204.0,3379.0,
2026-04-01,PARLAY,823889+824136,2-parlay,2,2-串（馬林魚 勝、皇家 勝）,4.076,0.4,0.2453,0.6305,PARLAY,0.0307,100,3379.0,WIN,308.0,3687.0,
2026-04-01,PARLAY,823889+824211,2-parlay,2,2-串（馬林魚 勝、太空人 勝）,3.89,0.4151,0.2571,0.6147,PARLAY,0.0319,120,3687.0,WIN,347.0,4034.0,
2026-04-02,MLB,823242,single,1,大都會 勝,1.752,0.6768,0.5708,0.106,A,0.0494,250,4034.0,LOSS,-250,3784.0,
2026-04-02,MLB,825105,single,1,勇士 勝,2.226,0.5507,0.4492,0.1014,A,0.0368,170,3784.0,WIN,208.0,3992.0,
2026-04-02,PARLAY,823242+825105,2-parlay,2,2-串（大都會 勝、勇士 勝）,3.9,0.3727,0.2564,0.4534,PARLAY,0.0235,90,3992.0,LOSS,-90,3902.0,
2026-04-03,MLB,824299,single,1,紅雀 勝,2.059,0.717,0.4857,0.2313,A,0.09,310,3902.0,LOSS,-310,3592.0,
2026-04-03,MLB,825103,single,1,勇士 勝,2.319,0.5715,0.4312,0.1403,A,0.0493,220,3592.0,WIN,290.0,3882.0,
2026-04-03,PARLAY,824299+825103,2-parlay,2,2-串（紅雀 勝、勇士 勝）,4.775,0.4098,0.2094,0.9565,PARLAY,0.038,150,3882.0,LOSS,-150,3732.0,
2026-04-03,PARLAY,824299+823406,2-parlay,2,2-串（紅雀 勝、海盜 勝）,4.062,0.4315,0.2462,0.7531,PARLAY,0.0369,140,3732.0,LOSS,-140,3592.0,
2026-04-04,MLB,823730,single,1,雙城 勝,1.738,0.772,0.5754,0.1966,A,0.0926,290,3592.0,LOSS,-290,3302.0,
2026-04-04,MLB,825104,single,1,勇士 勝,2.147,0.6589,0.4658,0.1932,A,0.0723,260,3302.0,LOSS,-260,3042.0,
2026-04-04,PARLAY,823730+825104,2-parlay,2,2-串（雙城 勝、勇士 勝）,3.731,0.5087,0.268,0.8981,PARLAY,0.0493,150,3042.0,LOSS,-150,2892.0,
2026-04-04,PARLAY,825104+823239,2-parlay,2,2-串（勇士 勝、大都會 勝）,4.758,0.3735,0.2102,0.7768,PARLAY,0.031,90,2892.0,LOSS,-90,2802.0,
2026-04-05,MLB,825102,single,1,勇士 勝,1.948,0.6887,0.5133,0.1754,A,0.0721,220,2802.0,LOSS,-220,2582.0,
2026-04-05,MLB,824296,single,1,老虎 勝,1.908,0.6141,0.5241,0.09,A,0.0378,120,2582.0,LOSS,-120,2462.0,
2026-04-05,PARLAY,825102+824296,2-parlay,2,2-串（勇士 勝、老虎 勝）,3.717,0.423,0.269,0.5721,PARLAY,0.0316,80,2462.0,LOSS,-80,2382.0,
2026-04-06,MLB,824376,single,1,落磯 勝,2.266,0.5827,0.4413,0.1414,A,0.0506,150,2382.0,WIN,190.0,2572.0,
2026-04-06,MLB,823237,single,1,費城人 勝,1.964,0.6195,0.5092,0.1103,A,0.045,140,2572.0,WIN,135.0,2707.0,
2026-04-06,PARLAY,824376+823237,2-parlay,2,2-串（落磯 勝、費城人 勝）,4.45,0.361,0.2247,0.6067,PARLAY,0.0264,70,2707.0,WIN,242.0,2949.0,
2026-04-07,MLB,824375,single,1,落磯 勝,2.183,0.5988,0.4581,0.1407,A,0.0519,190,2949.0,WIN,225.0,3174.0,
2026-04-07,MLB,822831,single,1,道奇 勝,2.288,0.5312,0.4371,0.0942,A,0.0335,130,3174.0,WIN,167.0,3341.0,
2026-04-07,PARLAY,824375+822831,2-parlay,2,2-串（落磯 勝、道奇 勝）,4.995,0.3181,0.2002,0.5887,PARLAY,0.0221,70,3341.0,WIN,280.0,3621.0,
2026-04-07,PARLAY,824375+824457,2-parlay,2,2-串（落磯 勝、皇家 勝）,4.663,0.3334,0.2145,0.5546,PARLAY,0.0227,80,3621.0,LOSS,-80,3541.0,
2026-04-08,MLB,822833,single,1,道奇 勝,2.21,0.5895,0.4525,0.137,A,0.0501,220,3541.0,LOSS,-220,3321.0,
2026-04-08,MLB,823234,single,1,費城人 勝,2.081,0.5946,0.4805,0.1141,A,0.0439,180,3321.0,LOSS,-180,3141.0,
2026-04-08,PARLAY,822833+824050,2-parlay,2,2-串（道奇 勝、勇士 勝）,5.468,0.297,0.1829,0.624,PARLAY,0.021,70,3141.0,LOSS,-70,3071.0,
2026-04-08,PARLAY,822833+823234,2-parlay,2,2-串（道奇 勝、費城人 勝）,4.599,0.3505,0.2174,0.6121,PARLAY,0.0255,80,3071.0,LOSS,-80,2991.0,
