date,sport,game_id,bet_type,legs,bet_label,odds,true_prob,implied_prob,edge,grade,kelly_frac,bet_amount,bankroll_before,result,pnl,bankroll_after,notes
2026-04-01,MLB,823889,single,1,馬林魚 勝,1.728,0.7479,0.5787,0.1692,A,0.1004,240,3000.0,WIN,175.0,3175.0,
2026-04-01,MLB,824136,single,1,皇家 勝,2.359,0.5348,0.4239,0.1109,A,0.0481,150,3175.0,WIN,204.0,3379.0,
2026-04-01,MLB,824211,single,1,太空人 勝,2.251,0.5551,0.4442,0.1108,A,0.0499,170,3379.0,WIN,213.0,3592.0,
2026-04-01,MLB,824860,single,1,遊騎兵 勝,2.07,0.5657,0.4831,0.0826,A,0.0399,140,3592.0,LOSS,-140,3452.0,
2026-04-01,PARLAY,823889+824136,2-parlay,2,2-串（馬林魚 勝、皇家 勝）,4.076,0.4,0.2453,0.6305,PARLAY,0.0307,110,3452.0,WIN,338.0,3790.0,
2026-04-01,PARLAY,823889+824211,2-parlay,2,2-串（馬林魚 勝、太空人 勝）,3.89,0.4151,0.2571,0.6147,PARLAY,0.0319,120,3790.0,WIN,347.0,4137.0,
2026-04-01,PARLAY,824136+824211,2-parlay,2,2-串（皇家 勝、太空人 勝）,5.31,0.2969,0.1883,0.5764,PARLAY,0.0201,80,4137.0,WIN,345.0,4482.0,
2026-04-01,PARLAY,823889+824136+824211,3-parlay,3,3-串（馬林魚 勝、皇家 勝、太空人 勝）,9.176,0.222,0.109,1.0373,PARLAY,0.019,90,4482.0,WIN,736.0,5218.0,
2026-04-01,PARLAY,823889+824136+824860,3-parlay,3,3-串（馬林魚 勝、皇家 勝、遊騎兵 勝）,8.438,0.2263,0.1185,0.9091,PARLAY,0.0183,100,5218.0,LOSS,-100,5118.0,
2026-04-01,PARLAY,823889+824211+824860,3-parlay,3,3-串（馬林魚 勝、太空人 勝、遊騎兵 勝）,8.052,0.2348,0.1242,0.8907,PARLAY,0.0189,100,5118.0,LOSS,-100,5018.0,
2026-04-01,PARLAY,823889+824211+824860+823806,4-parlay,4,4-串（馬林魚 勝、太空人 勝、遊騎兵 勝、釀酒人 勝）,14.711,0.1478,0.068,1.1744,PARLAY,0.0128,60,5018.0,LOSS,-60,4958.0,
2026-04-01,PARLAY,823889+824211+824860+823157,4-parlay,4,4-串（馬林魚 勝、太空人 勝、遊騎兵 勝、洋基 勝）,14.775,0.1457,0.0677,1.1522,PARLAY,0.0125,60,4958.0,LOSS,-60,4898.0,
2026-04-01,PARLAY,823889+824136+823806+823157,4-parlay,4,4-串（馬林魚 勝、皇家 勝、釀酒人 勝、洋基 勝）,13.666,0.1562,0.0732,1.1345,PARLAY,0.0134,70,4898.0,WIN,887.0,5785.0,
2026-04-02,MLB,823242,single,1,大都會 勝,1.752,0.6768,0.5708,0.106,A,0.0617,360,5785.0,LOSS,-360,5425.0,
2026-04-02,MLB,825105,single,1,勇士 勝,2.226,0.5507,0.4492,0.1014,A,0.046,250,5425.0,WIN,306.0,5731.0,
2026-04-02,PARLAY,823242+825105,2-parlay,2,2-串（大都會 勝、勇士 勝）,3.9,0.3727,0.2564,0.4534,PARLAY,0.0235,130,5731.0,LOSS,-130,5601.0,
2026-04-03,MLB,824299,single,1,紅雀 勝,2.059,0.717,0.4857,0.2313,A,0.1124,450,5601.0,LOSS,-450,5151.0,
2026-04-03,MLB,825103,single,1,勇士 勝,2.319,0.5715,0.4312,0.1403,A,0.0617,320,5151.0,WIN,422.0,5573.0,
2026-04-03,MLB,823406,single,1,海盜 勝,1.973,0.6018,0.5068,0.095,A,0.0482,270,5573.0,WIN,263.0,5836.0,
2026-04-03,MLB,824621,single,1,藍鳥 勝,2.241,0.521,0.4462,0.0748,A,0.0338,200,5836.0,LOSS,-200,5636.0,
2026-04-03,PARLAY,824299+825103,2-parlay,2,2-串（紅雀 勝、勇士 勝）,4.775,0.4098,0.2094,0.9565,PARLAY,0.038,210,5636.0,LOSS,-210,5426.0,
2026-04-03,PARLAY,824299+823406,2-parlay,2,2-串（紅雀 勝、海盜 勝）,4.062,0.4315,0.2462,0.7531,PARLAY,0.0369,200,5426.0,LOSS,-200,5226.0,
2026-04-03,PARLAY,824299+824621,2-parlay,2,2-串（紅雀 勝、藍鳥 勝）,4.614,0.3736,0.2167,0.7238,PARLAY,0.03,160,5226.0,LOSS,-160,5066.0,
2026-04-03,PARLAY,824299+825103+823406,3-parlay,3,3-串（紅雀 勝、勇士 勝、海盜 勝）,9.421,0.2466,0.1061,1.3233,PARLAY,0.0236,120,5066.0,LOSS,-120,4946.0,
2026-04-03,PARLAY,824299+825103+824621,3-parlay,3,3-串（紅雀 勝、勇士 勝、藍鳥 勝）,10.7,0.2135,0.0935,1.2845,PARLAY,0.0199,100,4946.0,LOSS,-100,4846.0,
