date,sport,game_id,bet_type,legs,bet_label,odds,true_prob,implied_prob,edge,grade,kelly_frac,bet_amount,bankroll_before,result,pnl,bankroll_after,notes
2026-05-01,MLB,823309,single,1,CWS 勝,1.707,0.7336,0.5858,0.1478,A,0.0892,240,3000.0,WIN,170.0,3170.0,
2026-05-01,MLB,824686,single,1,CHC 勝,1.977,0.6339,0.5058,0.1281,A,0.0648,210,3170.0,WIN,205.0,3375.0,
2026-05-01,MLB,823713,single,1,TOR 勝,1.7,0.7101,0.5882,0.1218,A,0.074,250,3375.0,WIN,175.0,3550.0,
2026-05-01,MLB,823066,single,1,LAD 勝,1.846,0.639,0.5417,0.0973,A,0.0531,190,3550.0,LOSS,-190,3360.0,
2026-05-01,PARLAY,823309+824686,2-parlay,2,2-串（CWS 勝、CHC 勝）,3.375,0.4651,0.2963,0.5694,PARLAY,0.036,120,3360.0,WIN,285.0,3645.0,
2026-05-01,PARLAY,824686+823713,2-parlay,2,2-串（CHC 勝、TOR 勝）,3.361,0.4501,0.2975,0.5128,PARLAY,0.0326,120,3645.0,WIN,283.0,3928.0,
2026-05-01,PARLAY,823309+823713,2-parlay,2,2-串（CWS 勝、TOR 勝）,2.902,0.5209,0.3446,0.5116,PARLAY,0.0403,160,3928.0,WIN,304.0,4232.0,
2026-05-01,PARLAY,823309+824686+823713,3-parlay,3,3-串（CWS 勝、CHC 勝、TOR 勝）,5.737,0.3302,0.1743,0.8944,PARLAY,0.0283,120,4232.0,WIN,568.0,4800.0,
2026-05-01,PARLAY,823309+824686+823066,3-parlay,3,3-串（CWS 勝、CHC 勝、LAD 勝）,6.23,0.2972,0.1605,0.8512,PARLAY,0.0244,120,4800.0,LOSS,-120,4680.0,
2026-05-01,PARLAY,824686+823713+823066,3-parlay,3,3-串（CHC 勝、TOR 勝、LAD 勝）,6.204,0.2876,0.1612,0.7845,PARLAY,0.0226,110,4680.0,LOSS,-110,4570.0,
2026-05-01,PARLAY,823309+824686+823713+823066,4-parlay,4,4-串（CWS 勝、CHC 勝、TOR 勝、LAD 勝）,10.591,0.211,0.0944,1.2346,PARLAY,0.0193,90,4570.0,LOSS,-90,4480.0,
2026-05-02,MLB,823388,single,1,PIT 勝,1.939,0.605,0.5157,0.0893,A,0.0461,210,4480.0,WIN,197.0,4677.0,
2026-05-02,MLB,825014,single,1,CLE 勝,1.778,0.6174,0.5624,0.0549,B,0.0251,120,4677.0,WIN,93.0,4770.0,
2026-05-02,MLB,823554,single,1,NYY 勝,1.972,0.5537,0.5071,0.0466,B,0.0189,90,4770.0,WIN,87.0,4857.0,
2026-05-02,MLB,823308,single,1,CWS 勝,2.082,0.5205,0.4803,0.0402,B,0.0155,80,4857.0,WIN,87.0,4944.0,
2026-05-02,PARLAY,823388+825014,2-parlay,2,2-串（PIT 勝、CLE 勝）,3.448,0.3735,0.29,0.2877,PARLAY,0.0176,90,4944.0,WIN,220.0,5164.0,
2026-05-02,PARLAY,823388+823554,2-parlay,2,2-串（PIT 勝、NYY 勝）,3.824,0.335,0.2615,0.2809,PARLAY,0.0149,80,5164.0,WIN,226.0,5390.0,
2026-05-02,PARLAY,823388+823308,2-parlay,2,2-串（PIT 勝、CWS 勝）,4.037,0.3149,0.2477,0.2712,PARLAY,0.0134,70,5390.0,WIN,213.0,5603.0,
2026-05-02,PARLAY,823388+825014+823554,3-parlay,3,3-串（PIT 勝、CLE 勝、NYY 勝）,6.799,0.2068,0.1471,0.406,PARLAY,0.0105,60,5603.0,WIN,348.0,5951.0,
2026-05-02,PARLAY,823388+825014+823308,3-parlay,3,3-串（PIT 勝、CLE 勝、CWS 勝）,7.178,0.1944,0.1393,0.3954,PARLAY,0.0096,60,5951.0,WIN,371.0,6322.0,
2026-05-02,PARLAY,823388+823554+823308,3-parlay,3,3-串（PIT 勝、NYY 勝、CWS 勝）,7.961,0.1744,0.1256,0.388,PARLAY,0.0084,50,6322.0,WIN,348.0,6670.0,
2026-05-02,PARLAY,823388+825014+823554+823308,4-parlay,4,4-串（PIT 勝、CLE 勝、NYY 勝、CWS 勝）,14.155,0.1076,0.0706,0.5236,PARLAY,0.006,40,6670.0,WIN,526.0,7196.0,
2026-05-03,MLB,824769,single,1,BOS 勝,1.721,0.7121,0.5811,0.1311,A,0.0782,560,7196.0,LOSS,-560,6636.0,
2026-05-03,MLB,824364,single,1,ATL 勝,1.775,0.6816,0.5634,0.1183,A,0.0677,450,6636.0,WIN,349.0,6985.0,
2026-05-03,MLB,825013,single,1,CLE 勝,1.864,0.6401,0.5365,0.1036,A,0.0559,390,6985.0,LOSS,-390,6595.0,
2026-05-03,MLB,823387,single,1,PIT 勝,2.027,0.5675,0.4933,0.0742,A,0.0366,240,6595.0,WIN,246.0,6841.0,
2026-05-03,PARLAY,824769+824364,2-parlay,2,2-串（BOS 勝、ATL 勝）,3.055,0.4854,0.3273,0.4828,PARLAY,0.0352,240,6841.0,LOSS,-240,6601.0,
2026-05-03,PARLAY,824769+825013,2-parlay,2,2-串（BOS 勝、CLE 勝）,3.208,0.4558,0.3117,0.4623,PARLAY,0.0314,210,6601.0,LOSS,-210,6391.0,
2026-05-03,PARLAY,824364+825013,2-parlay,2,2-串（ATL 勝、CLE 勝）,3.309,0.4363,0.3022,0.4437,PARLAY,0.0288,180,6391.0,LOSS,-180,6211.0,
2026-05-03,PARLAY,824769+824364+825013,3-parlay,3,3-串（BOS 勝、ATL 勝、CLE 勝）,5.694,0.3107,0.1756,0.7693,PARLAY,0.0246,150,6211.0,LOSS,-150,6061.0,
2026-05-03,PARLAY,824769+824364+823387,3-parlay,3,3-串（BOS 勝、ATL 勝、PIT 勝）,6.192,0.2755,0.1615,0.7057,PARLAY,0.0204,120,6061.0,LOSS,-120,5941.0,
2026-05-03,PARLAY,824769+825013+823387,3-parlay,3,3-串（BOS 勝、CLE 勝、PIT 勝）,6.503,0.2587,0.1538,0.6821,PARLAY,0.0186,110,5941.0,LOSS,-110,5831.0,
2026-05-03,PARLAY,824769+824364+825013+823387,4-parlay,4,4-串（BOS 勝、ATL 勝、CLE 勝、PIT 勝）,11.542,0.1763,0.0866,1.0352,PARLAY,0.0147,90,5831.0,LOSS,-90,5741.0,
2026-05-04,MLB,824363,single,1,NYM 勝,1.717,0.6873,0.5824,0.1049,A,0.0628,360,5741.0,WIN,258.0,5999.0,
2026-05-04,MLB,824039,single,1,CWS 勝,1.92,0.5843,0.5208,0.0634,B,0.0265,160,5999.0,WIN,147.0,6146.0,
2026-05-04,MLB,823874,single,1,MIA 勝,1.939,0.5745,0.5157,0.0588,B,0.0243,150,6146.0,LOSS,-150,5996.0,
2026-05-04,MLB,824120,single,1,KC 勝,2.074,0.534,0.4822,0.0519,B,0.02,120,5996.0,WIN,129.0,6125.0,
2026-05-04,PARLAY,824363+824039,2-parlay,2,2-串（NYM 勝、CWS 勝）,3.297,0.4016,0.3033,0.3238,PARLAY,0.0211,130,6125.0,WIN,299.0,6424.0,
2026-05-04,PARLAY,824363+823874,2-parlay,2,2-串（NYM 勝、MIA 勝）,3.329,0.3948,0.3004,0.3146,PARLAY,0.0203,130,6424.0,LOSS,-130,6294.0,
2026-05-04,PARLAY,824363+824120,2-parlay,2,2-串（NYM 勝、KC 勝）,3.561,0.367,0.2808,0.307,PARLAY,0.018,110,6294.0,WIN,282.0,6576.0,
2026-05-04,PARLAY,824363+824039+823874,3-parlay,3,3-串（NYM 勝、CWS 勝、MIA 勝）,6.392,0.2307,0.1564,0.4747,PARLAY,0.0132,90,6576.0,LOSS,-90,6486.0,
2026-05-04,PARLAY,824363+824039+824120,3-parlay,3,3-串（NYM 勝、CWS 勝、KC 勝）,6.837,0.2144,0.1463,0.4662,PARLAY,0.012,80,6486.0,WIN,467.0,6953.0,
2026-05-04,PARLAY,824363+823874+824120,3-parlay,3,3-串（NYM 勝、MIA 勝、KC 勝）,6.905,0.2109,0.1448,0.4559,PARLAY,0.0116,80,6953.0,LOSS,-80,6873.0,
2026-05-04,PARLAY,824363+824039+823874+824120,4-parlay,4,4-串（NYM 勝、CWS 勝、MIA 勝、KC 勝）,13.257,0.1232,0.0754,0.6333,PARLAY,0.0077,50,6873.0,LOSS,-50,6823.0,
2026-05-05,MLB,823873,single,1,MIA 勝,1.866,0.7497,0.5359,0.2138,A,0.1152,550,6823.0,LOSS,-550,6273.0,
2026-05-05,MLB,822743,single,1,WSH 勝,2.074,0.5852,0.4822,0.1031,A,0.0498,310,6273.0,LOSS,-310,5963.0,
2026-05-05,MLB,824362,single,1,NYM 勝,1.868,0.6298,0.5353,0.0945,A,0.0508,300,5963.0,LOSS,-300,5663.0,
2026-05-05,MLB,822986,single,1,TB 勝,2.245,0.5318,0.4454,0.0864,A,0.039,220,5663.0,WIN,274.0,5937.0,
2026-05-05,PARLAY,823873+822743,2-parlay,2,2-串（MIA 勝、WSH 勝）,3.87,0.4387,0.2584,0.698,PARLAY,0.0365,220,5937.0,LOSS,-220,5717.0,
2026-05-05,PARLAY,823873+822986,2-parlay,2,2-串（MIA 勝、TB 勝）,4.189,0.3987,0.2387,0.6703,PARLAY,0.0315,180,5717.0,LOSS,-180,5537.0,
2026-05-05,PARLAY,823873+824362,2-parlay,2,2-串（MIA 勝、NYM 勝）,3.486,0.4722,0.2869,0.6458,PARLAY,0.039,220,5537.0,LOSS,-220,5317.0,
2026-05-05,PARLAY,823873+822743+822986,3-parlay,3,3-串（MIA 勝、WSH 勝、TB 勝）,8.688,0.2333,0.1151,1.0273,PARLAY,0.02,110,5317.0,LOSS,-110,5207.0,
2026-05-05,PARLAY,823873+822743+824362,3-parlay,3,3-串（MIA 勝、WSH 勝、NYM 勝）,7.229,0.2763,0.1383,0.9976,PARLAY,0.024,130,5207.0,LOSS,-130,5077.0,
2026-05-05,PARLAY,823873+824362+822986,3-parlay,3,3-串（MIA 勝、NYM 勝、TB 勝）,7.825,0.2511,0.1278,0.9651,PARLAY,0.0212,110,5077.0,LOSS,-110,4967.0,
2026-05-06,MLB,823872,single,1,MIA 勝,2.091,0.6847,0.4782,0.2064,A,0.0989,400,4967.0,LOSS,-400,4567.0,
2026-05-06,MLB,825091,single,1,AZ 勝,2.163,0.6509,0.4623,0.1886,A,0.0877,370,4567.0,LOSS,-370,4197.0,
2026-05-06,MLB,823470,single,1,PHI 勝,1.763,0.7501,0.5672,0.1829,A,0.1057,340,4197.0,WIN,259.0,4456.0,
2026-05-06,MLB,823550,single,1,NYY 勝,1.861,0.6993,0.5373,0.1619,A,0.0875,360,4456.0,LOSS,-360,4096.0,
2026-05-06,PARLAY,823872+825091,2-parlay,2,2-串（MIA 勝、AZ 勝）,4.523,0.4457,0.2211,1.0157,PARLAY,0.0432,180,4096.0,LOSS,-180,3916.0,
2026-05-06,PARLAY,823872+823470,2-parlay,2,2-串（MIA 勝、PHI 勝）,3.686,0.5136,0.2713,0.8934,PARLAY,0.0499,200,3916.0,LOSS,-200,3716.0,
2026-05-06,PARLAY,823872+823550,2-parlay,2,2-串（MIA 勝、NYY 勝）,3.891,0.4788,0.257,0.863,PARLAY,0.0448,170,3716.0,LOSS,-170,3546.0,
2026-05-06,PARLAY,823872+825091+823470,3-parlay,3,3-串（MIA 勝、AZ 勝、PHI 勝）,7.974,0.3343,0.1254,1.6658,PARLAY,0.0358,130,3546.0,LOSS,-130,3416.0,
2026-05-06,PARLAY,823872+825091+823550,3-parlay,3,3-串（MIA 勝、AZ 勝、NYY 勝）,8.417,0.3116,0.1188,1.623,PARLAY,0.0328,110,3416.0,LOSS,-110,3306.0,
2026-05-06,PARLAY,823872+823470+823550,3-parlay,3,3-串（MIA 勝、PHI 勝、NYY 勝）,6.86,0.3591,0.1458,1.4639,PARLAY,0.0375,120,3306.0,LOSS,-120,3186.0,
2026-05-06,PARLAY,823872+825091+823470+823550,4-parlay,4,4-串（MIA 勝、AZ 勝、PHI 勝、NYY 勝）,14.839,0.2338,0.0674,2.469,PARLAY,0.0268,90,3186.0,LOSS,-90,3096.0,
2026-05-07,MLB,823467,single,1,PHI 勝,2.234,0.683,0.4476,0.2353,A,0.1065,250,3096.0,LOSS,-250,2846.0,
2026-05-07,MLB,822741,single,1,WSH 勝,1.768,0.7657,0.5656,0.2001,A,0.1152,230,2846.0,WIN,177.0,3023.0,
2026-05-07,MLB,825090,single,1,AZ 勝,2.429,0.6007,0.4117,0.189,A,0.0803,240,3023.0,LOSS,-240,2783.0,
2026-05-07,MLB,823306,single,1,SD 勝,1.806,0.6133,0.5537,0.0595,B,0.0267,70,2783.0,LOSS,-70,2713.0,
2026-05-07,PARLAY,823467+825090,2-parlay,2,2-串（PHI 勝、AZ 勝）,5.426,0.4103,0.1843,1.2263,PARLAY,0.0416,110,2713.0,LOSS,-110,2603.0,
2026-05-07,PARLAY,823467+822741,2-parlay,2,2-串（PHI 勝、WSH 勝）,3.95,0.523,0.2532,1.0656,PARLAY,0.0542,140,2603.0,LOSS,-140,2463.0,
2026-05-07,PARLAY,822741+825090,2-parlay,2,2-串（WSH 勝、AZ 勝）,4.294,0.46,0.2329,0.9755,PARLAY,0.0444,110,2463.0,LOSS,-110,2353.0,
2026-05-07,PARLAY,823467+822741+825090,3-parlay,3,3-串（PHI 勝、WSH 勝、AZ 勝）,9.594,0.3142,0.1042,2.014,PARLAY,0.0352,80,2353.0,LOSS,-80,2273.0,
2026-05-07,PARLAY,823467+825090+823306,3-parlay,3,3-串（PHI 勝、AZ 勝、SD 勝）,9.8,0.2516,0.102,1.4657,PARLAY,0.025,60,2273.0,LOSS,-60,2213.0,
2026-05-07,PARLAY,823467+822741+823306,3-parlay,3,3-串（PHI 勝、WSH 勝、SD 勝）,7.133,0.3207,0.1402,1.2877,PARLAY,0.0315,70,2213.0,LOSS,-70,2143.0,
2026-05-08,MLB,824443,single,1,CLE 勝,1.873,0.6978,0.5339,0.1639,A,0.0879,170,2143.0,WIN,148.0,2291.0,
2026-05-08,MLB,825088,single,1,AZ 勝,2.656,0.5282,0.3765,0.1517,A,0.0608,140,2291.0,LOSS,-140,2151.0,
2026-05-08,PARLAY,824443+825088,2-parlay,2,2-串（CLE 勝、AZ 勝）,4.975,0.3686,0.201,0.8337,PARLAY,0.0315,70,2151.0,LOSS,-70,2081.0,
2026-05-09,MLB,824444,single,1,CLE 勝,2.446,0.5489,0.4088,0.1401,A,0.0593,120,2081.0,LOSS,-120,1961.0,
2026-05-09,MLB,824766,single,1,TB 勝,2.107,0.5473,0.4746,0.0727,A,0.0346,70,1961.0,VOID,0.0,1961.0,
2026-05-09,MLB,824523,single,1,HOU 勝,2.114,0.5445,0.473,0.0715,A,0.0339,70,1961.0,LOSS,-70,1891.0,
2026-05-09,MLB,823468,single,1,PHI 勝,1.985,0.5614,0.5038,0.0576,B,0.0232,40,1891.0,WIN,39.0,1930.0,
2026-05-09,PARLAY,824444+824766,2-parlay,2,2-串（CLE 勝、TB 勝）,5.154,0.3005,0.194,0.5485,PARLAY,0.0198,40,1930.0,LOSS,-40,1890.0,
2026-05-09,PARLAY,824444+824523,2-parlay,2,2-串（CLE 勝、HOU 勝）,5.171,0.2989,0.1934,0.5456,PARLAY,0.0196,40,1890.0,LOSS,-40,1850.0,
2026-05-09,PARLAY,824444+823468,2-parlay,2,2-串（CLE 勝、PHI 勝）,4.855,0.3082,0.206,0.4962,PARLAY,0.0193,40,1850.0,LOSS,-40,1810.0,
2026-05-09,PARLAY,824444+824766+824523,3-parlay,3,3-串（CLE 勝、TB 勝、HOU 勝）,10.895,0.1636,0.0918,0.7824,PARLAY,0.0119,20,1810.0,LOSS,-20,1790.0,
2026-05-09,PARLAY,824444+824766+823468,3-parlay,3,3-串（CLE 勝、TB 勝、PHI 勝）,10.23,0.1687,0.0978,0.7255,PARLAY,0.0118,20,1790.0,LOSS,-20,1770.0,
2026-05-09,PARLAY,824444+824523+823468,3-parlay,3,3-串（CLE 勝、HOU 勝、PHI 勝）,10.264,0.1678,0.0974,0.7222,PARLAY,0.0117,20,1770.0,LOSS,-20,1750.0,
2026-05-10,MLB,824765,single,1,TB 勝,2.107,0.5821,0.4746,0.1075,A,0.0512,90,1750.0,WIN,100.0,1850.0,
2026-05-10,MLB,823221,single,1,PIT 勝,2.313,0.5339,0.4323,0.1016,A,0.0447,80,1850.0,LOSS,-80,1770.0,
2026-05-10,MLB,824520,single,1,HOU 勝,1.937,0.6091,0.5163,0.0928,A,0.048,80,1770.0,LOSS,-80,1690.0,
2026-05-10,MLB,825085,single,1,AZ 勝,2.223,0.5318,0.4498,0.0819,A,0.0372,60,1690.0,WIN,73.0,1763.0,
2026-05-10,PARLAY,824765+823221,2-parlay,2,2-串（TB 勝、PIT 勝）,4.873,0.3108,0.2052,0.5147,PARLAY,0.0199,40,1763.0,LOSS,-40,1723.0,
2026-05-10,PARLAY,823221+825085,2-parlay,2,2-串（PIT 勝、AZ 勝）,5.142,0.2839,0.1945,0.4598,PARLAY,0.0167,30,1723.0,LOSS,-30,1693.0,
2026-05-10,PARLAY,823221+824520,2-parlay,2,2-串（PIT 勝、HOU 勝）,4.48,0.3252,0.2232,0.4569,PARLAY,0.0197,30,1693.0,LOSS,-30,1663.0,
2026-05-10,PARLAY,824765+823221+825085,3-parlay,3,3-串（TB 勝、PIT 勝、AZ 勝）,10.834,0.1653,0.0923,0.7905,PARLAY,0.0121,20,1663.0,LOSS,-20,1643.0,
2026-05-10,PARLAY,824765+823221+824520,3-parlay,3,3-串（TB 勝、PIT 勝、HOU 勝）,9.44,0.1893,0.1059,0.787,PARLAY,0.014,20,1643.0,LOSS,-20,1623.0,
2026-05-10,PARLAY,823221+824520+825085,3-parlay,3,3-串（PIT 勝、HOU 勝、AZ 勝）,9.96,0.1729,0.1004,0.7222,PARLAY,0.0121,20,1623.0,LOSS,-20,1603.0,
2026-05-11,MLB,824199,single,1,HOU 勝,2.045,0.5942,0.489,0.1052,A,0.0515,80,1603.0,LOSS,-80,1523.0,
2026-05-12,MLB,824442,single,1,CLE 勝,2.34,0.5629,0.4274,0.1356,A,0.0592,90,1523.0,WIN,121.0,1644.0,
2026-05-12,MLB,824521,single,1,CIN 勝,2.174,0.5778,0.46,0.1178,A,0.0545,90,1644.0,LOSS,-90,1554.0,
2026-05-12,MLB,822817,single,1,TB 勝,1.794,0.6175,0.5574,0.0601,B,0.0271,40,1554.0,WIN,32.0,1586.0,
2026-05-12,MLB,823712,single,1,MIN 勝,1.921,0.5717,0.5206,0.0512,B,0.0214,30,1586.0,WIN,28.0,1614.0,
2026-05-12,PARLAY,824442+824521,2-parlay,2,2-串（CLE 勝、CIN 勝）,5.087,0.3252,0.1966,0.6545,PARLAY,0.024,40,1614.0,LOSS,-40,1574.0,
2026-05-12,PARLAY,824442+822817,2-parlay,2,2-串（CLE 勝、TB 勝）,4.198,0.3476,0.2382,0.4591,PARLAY,0.0215,30,1574.0,WIN,96.0,1670.0,
2026-05-12,PARLAY,824442+823712,2-parlay,2,2-串（CLE 勝、MIN 勝）,4.495,0.3218,0.2225,0.4467,PARLAY,0.0192,30,1670.0,WIN,105.0,1775.0,
2026-05-12,PARLAY,824442+824521+822817,3-parlay,3,3-串（CLE 勝、CIN 勝、TB 勝）,9.126,0.2008,0.1096,0.8328,PARLAY,0.0154,30,1775.0,LOSS,-30,1745.0,
2026-05-12,PARLAY,824442+824521+823712,3-parlay,3,3-串（CLE 勝、CIN 勝、MIN 勝）,9.772,0.1859,0.1023,0.8172,PARLAY,0.014,20,1745.0,LOSS,-20,1725.0,
2026-05-12,PARLAY,824442+822817+823712,3-parlay,3,3-串（CLE 勝、TB 勝、MIN 勝）,8.064,0.1987,0.124,0.6026,PARLAY,0.0128,20,1725.0,WIN,141.0,1866.0,
2026-05-13,MLB,823791,single,1,MIL 勝,1.837,0.6132,0.5444,0.0688,B,0.0302,60,1866.0,LOSS,-60,1806.0,
2026-05-13,MLB,824763,single,1,BOS 勝,1.97,0.5692,0.5076,0.0616,B,0.025,50,1806.0,WIN,48.0,1854.0,
2026-05-13,MLB,822900,single,1,TEX 勝,2.004,0.541,0.499,0.042,B,0.0168,30,1854.0,WIN,30.0,1884.0,
2026-05-13,PARLAY,823791+824763,2-parlay,2,2-串（MIL 勝、BOS 勝）,3.619,0.349,0.2763,0.2632,PARLAY,0.0151,30,1884.0,LOSS,-30,1854.0,
2026-05-13,PARLAY,823791+822900,2-parlay,2,2-串（MIL 勝、TEX 勝）,3.681,0.3317,0.2717,0.2212,PARLAY,0.0124,20,1854.0,LOSS,-20,1834.0,
2026-05-13,PARLAY,824763+822900,2-parlay,2,2-串（BOS 勝、TEX 勝）,3.948,0.3079,0.2533,0.2157,PARLAY,0.011,20,1834.0,WIN,59.0,1893.0,
2026-05-13,PARLAY,823791+824763+822900,3-parlay,3,3-串（MIL 勝、BOS 勝、TEX 勝）,7.252,0.1888,0.1379,0.3694,PARLAY,0.0089,20,1893.0,LOSS,-20,1873.0,
2026-05-14,MLB,824517,single,1,WSH 勝,2.313,0.5423,0.4323,0.1099,A,0.0484,90,1873.0,LOSS,-90,1783.0,
2026-05-14,MLB,824762,single,1,BOS 勝,2.096,0.5424,0.4771,0.0653,B,0.025,40,1783.0,LOSS,-40,1743.0,
2026-05-14,MLB,824602,single,1,KC 勝,1.78,0.6203,0.5618,0.0585,B,0.0267,50,1743.0,LOSS,-50,1693.0,
2026-05-14,MLB,823950,single,1,SF 勝,1.86,0.5944,0.5376,0.0567,B,0.0245,40,1693.0,LOSS,-40,1653.0,
2026-05-14,PARLAY,824517+824762,2-parlay,2,2-串（WSH 勝、BOS 勝）,4.848,0.2941,0.2063,0.4259,PARLAY,0.0166,30,1653.0,LOSS,-30,1623.0,
2026-05-14,PARLAY,824517+823950,2-parlay,2,2-串（WSH 勝、SF 勝）,4.302,0.3223,0.2325,0.3866,PARLAY,0.0176,30,1623.0,LOSS,-30,1593.0,
2026-05-14,PARLAY,824517+824602,2-parlay,2,2-串（WSH 勝、KC 勝）,4.117,0.3363,0.2429,0.3848,PARLAY,0.0185,30,1593.0,LOSS,-30,1563.0,
2026-05-14,PARLAY,824517+824762+823950,3-parlay,3,3-串（WSH 勝、BOS 勝、SF 勝）,9.017,0.1748,0.1109,0.5764,PARLAY,0.0108,20,1563.0,LOSS,-20,1543.0,
2026-05-14,PARLAY,824517+824762+824602,3-parlay,3,3-串（WSH 勝、BOS 勝、KC 勝）,8.63,0.1824,0.1159,0.5743,PARLAY,0.0113,20,1543.0,LOSS,-20,1523.0,
2026-05-14,PARLAY,824517+824602+823950,3-parlay,3,3-串（WSH 勝、KC 勝、SF 勝）,7.658,0.1999,0.1306,0.5309,PARLAY,0.012,20,1523.0,LOSS,-20,1503.0,
2026-05-15,MLB,824194,single,1,HOU 勝,1.946,0.7022,0.5139,0.1883,A,0.0969,120,1503.0,WIN,114.0,1617.0,
2026-05-15,MLB,824439,single,1,CLE 勝,2.026,0.5738,0.4936,0.0802,A,0.0396,60,1617.0,LOSS,-60,1557.0,
2026-05-15,MLB,823061,single,1,KC 勝,2.162,0.5258,0.4625,0.0633,B,0.0235,40,1557.0,LOSS,-40,1517.0,
2026-05-15,MLB,824925,single,1,ATL 勝,1.907,0.5815,0.5244,0.0571,B,0.024,40,1517.0,WIN,36.0,1553.0,
2026-05-15,PARLAY,824194+824439,2-parlay,2,2-串（HOU 勝、CLE 勝）,3.943,0.4029,0.2536,0.5886,PARLAY,0.03,50,1553.0,LOSS,-50,1503.0,
2026-05-15,PARLAY,824194+823061,2-parlay,2,2-串（HOU 勝、KC 勝）,4.207,0.3692,0.2377,0.5535,PARLAY,0.0259,40,1503.0,LOSS,-40,1463.0,
2026-05-15,PARLAY,824194+824925,2-parlay,2,2-串（HOU 勝、ATL 勝）,3.711,0.4084,0.2695,0.5154,PARLAY,0.0285,40,1463.0,WIN,108.0,1571.0,
2026-05-15,PARLAY,824194+824439+823061,3-parlay,3,3-串（HOU 勝、CLE 勝、KC 勝）,8.524,0.2119,0.1173,0.806,PARLAY,0.0161,30,1571.0,LOSS,-30,1541.0,
2026-05-15,PARLAY,824194+824439+824925,3-parlay,3,3-串（HOU 勝、CLE 勝、ATL 勝）,7.519,0.2343,0.133,0.7617,PARLAY,0.0175,30,1541.0,LOSS,-30,1511.0,
2026-05-15,PARLAY,824194+823061+824925,3-parlay,3,3-串（HOU 勝、KC 勝、ATL 勝）,8.023,0.2147,0.1246,0.7227,PARLAY,0.0154,20,1511.0,LOSS,-20,1491.0,
2026-05-16,MLB,824359,single,1,COL 勝,2.505,0.6118,0.3992,0.2125,A,0.0884,120,1491.0,WIN,181.0,1672.0,
2026-05-16,MLB,824193,single,1,HOU 勝,2.106,0.6419,0.4748,0.167,A,0.0795,130,1672.0,WIN,144.0,1816.0,
2026-05-16,MLB,823060,single,1,KC 勝,1.925,0.582,0.5195,0.0626,B,0.026,50,1816.0,LOSS,-50,1766.0,
2026-05-16,PARLAY,824359+824193,2-parlay,2,2-串（COL 勝、HOU 勝）,5.276,0.3927,0.1895,1.0715,PARLAY,0.0376,70,1766.0,WIN,299.0,2065.0,
2026-05-16,PARLAY,824359+823060,2-parlay,2,2-串（COL 勝、KC 勝）,4.822,0.3561,0.2074,0.717,PARLAY,0.0281,60,2065.0,LOSS,-60,2005.0,
2026-05-16,PARLAY,824193+823060,2-parlay,2,2-串（HOU 勝、KC 勝）,4.054,0.3736,0.2467,0.5146,PARLAY,0.0253,50,2005.0,LOSS,-50,1955.0,
2026-05-16,PARLAY,824359+824193+823060,3-parlay,3,3-串（COL 勝、HOU 勝、KC 勝）,10.155,0.2285,0.0985,1.321,PARLAY,0.0216,40,1955.0,LOSS,-40,1915.0,
2026-05-17,MLB,824599,single,1,CHC 勝,1.716,0.6924,0.5828,0.1096,A,0.0657,130,1915.0,LOSS,-130,1785.0,
2026-05-17,MLB,825006,single,1,ATH 勝,1.866,0.6021,0.5359,0.0662,B,0.0285,50,1785.0,LOSS,-50,1735.0,
2026-05-17,MLB,824279,single,1,TOR 勝,1.755,0.6313,0.5698,0.0615,B,0.0286,50,1735.0,WIN,38.0,1773.0,
2026-05-17,MLB,823381,single,1,PHI 勝,2.041,0.5449,0.49,0.055,B,0.0216,40,1773.0,WIN,42.0,1815.0,
2026-05-17,PARLAY,824599+825006,2-parlay,2,2-串（CHC 勝、ATH 勝）,3.202,0.4169,0.3123,0.3348,PARLAY,0.0228,40,1815.0,LOSS,-40,1775.0,
2026-05-17,PARLAY,824599+823381,2-parlay,2,2-串（CHC 勝、PHI 勝）,3.502,0.3773,0.2856,0.3215,PARLAY,0.0193,30,1775.0,LOSS,-30,1745.0,
2026-05-17,PARLAY,824599+824279,2-parlay,2,2-串（CHC 勝、TOR 勝）,3.012,0.4371,0.332,0.3163,PARLAY,0.0236,40,1745.0,LOSS,-40,1705.0,
2026-05-17,PARLAY,824599+825006+823381,3-parlay,3,3-串（CHC 勝、ATH 勝、PHI 勝）,6.535,0.2272,0.153,0.4846,PARLAY,0.0131,20,1705.0,LOSS,-20,1685.0,
