date,bankroll_open,total_bet,total_pnl,bankroll_close,bets_count,wins,losses,voids,single_bets,parlay_bets,highest_odds_hit,notes
2026-04-01,3000.0,70,496.0,3496.0,3,2,1,0,0,3,14.985,
2026-04-02,3496.0,10,47.0,3543.0,1,1,0,0,0,1,5.661,
2026-04-03,3543.0,100,-100.0,3443.0,2,0,2,0,0,2,0.0,
2026-04-04,3443.0,120,-120.0,3323.0,3,0,3,0,0,3,0.0,
2026-04-05,3323.0,10,-10.0,3313.0,1,0,1,0,0,1,0.0,
2026-04-06,3313.0,50,189.0,3502.0,2,1,1,0,0,2,5.971,
2026-04-07,3502.0,90,160.0,3662.0,3,1,2,0,0,3,4.995,
2026-04-08,3662.0,100,-100.0,3562.0,3,0,3,0,0,3,0.0,
2026-04-09,3562.0,10,-10.0,3552.0,1,0,1,0,0,1,0.0,
2026-04-10,3552.0,10,-10.0,3542.0,1,0,1,0,0,1,0.0,
2026-04-11,3542.0,80,-80.0,3462.0,3,0,3,0,0,3,0.0,
2026-04-12,3462.0,60,171.0,3633.0,2,1,1,0,0,2,4.616,
2026-04-13,3633.0,60,-60.0,3573.0,2,0,2,0,0,2,0.0,
2026-04-14,3573.0,50,178.0,3751.0,2,1,1,0,0,2,5.709,
2026-04-15,3751.0,40,147.0,3898.0,2,1,1,0,0,2,6.228,
2026-04-16,3898.0,0,0,3898.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-17,3898.0,10,-10.0,3888.0,1,0,1,0,0,1,0.0,
2026-04-18,3888.0,10,-10.0,3878.0,1,0,1,0,0,1,0.0,
2026-04-19,3878.0,70,-70.0,3808.0,2,0,2,0,0,2,0.0,
2026-04-20,3808.0,10,-10.0,3798.0,1,0,1,0,0,1,0.0,
2026-04-21,3798.0,50,-50.0,3748.0,2,0,2,0,0,2,0.0,
2026-04-22,3748.0,50,-50.0,3698.0,2,0,2,0,0,2,0.0,
2026-04-23,3698.0,10,-10.0,3688.0,1,0,1,0,0,1,0.0,
2026-04-24,3688.0,10,-10.0,3678.0,1,0,1,0,0,1,0.0,
2026-04-25,3678.0,10,-10.0,3668.0,1,0,1,0,0,1,0.0,
2026-04-26,3668.0,40,-40.0,3628.0,2,0,2,0,0,2,0.0,
2026-04-27,3628.0,10,-10.0,3618.0,1,0,1,0,0,1,0.0,
2026-04-28,3618.0,10,41.0,3659.0,1,1,0,0,0,1,5.064,
2026-04-29,3659.0,140,411.0,4070.0,3,1,2,0,0,3,7.01,
2026-04-30,4070.0,60,0.0,4070.0,2,0,0,2,0,2,0.0,
2026-05-01,4070.0,10,-10.0,4060.0,1,0,1,0,0,1,0.0,
2026-05-02,4060.0,10,-10.0,4050.0,1,0,1,0,0,1,0.0,
2026-05-03,4050.0,10,32.0,4082.0,1,1,0,0,0,1,4.212,
2026-05-04,4082.0,0,0,4082.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-05,4082.0,100,-100.0,3982.0,3,0,3,0,0,3,0.0,
2026-05-06,3982.0,120,-120.0,3862.0,2,0,2,0,0,2,0.0,
2026-05-07,3862.0,170,-170.0,3692.0,3,0,3,0,0,3,0.0,
2026-05-08,3692.0,10,-10.0,3682.0,1,0,1,0,0,1,0.0,
2026-05-09,3682.0,60,-60.0,3622.0,2,0,2,0,0,2,0.0,
2026-05-10,3622.0,90,-90.0,3532.0,3,0,3,0,0,3,0.0,
2026-05-11,3532.0,60,-60.0,3472.0,2,0,2,0,0,2,0.0,
2026-05-12,3472.0,70,-70.0,3402.0,2,0,2,0,0,2,0.0,
2026-05-13,3402.0,0,0,3402.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-14,3402.0,10,-10.0,3392.0,1,0,1,0,0,1,0.0,
2026-05-15,3392.0,10,-10.0,3382.0,1,0,1,0,0,1,0.0,
2026-05-16,3382.0,70,0.0,3382.0,2,0,0,2,0,2,0.0,
2026-05-17,3382.0,10,-10.0,3372.0,1,0,1,0,0,1,0.0,
2026-05-18,3372.0,0,0,3372.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-19,3372.0,0,0,3372.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-20,3372.0,0,0,3372.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-21,3372.0,0,0,3372.0,0,0,0,0,0,0,0,無賽事
2026-05-22,3372.0,0,0,3372.0,0,0,0,0,0,0,0,無賽事
2026-05-23,3372.0,90,-90.0,3282.0,3,0,3,0,0,3,0.0,
