date,bankroll_open,total_bet,total_pnl,bankroll_close,bets_count,wins,losses,voids,single_bets,parlay_bets,highest_odds_hit,notes
2026-04-01,3000.0,350,1008.0,4008.0,6,3,3,0,0,6,9.176,
2026-04-02,4008.0,100,-100.0,3908.0,2,0,2,0,0,2,0.0,
2026-04-03,3908.0,390,-390.0,3518.0,4,0,4,0,0,4,0.0,
2026-04-04,3518.0,490,-460.0,3058.0,5,0,5,0,0,5,0.0,
2026-04-05,3058.0,110,-110.0,2948.0,2,0,2,0,0,2,0.0,
2026-04-06,2948.0,90,266.0,3214.0,2,1,1,0,0,2,4.45,
2026-04-07,3214.0,190,140.0,3354.0,4,1,3,0,0,4,4.995,
2026-04-08,3354.0,270,-260.0,3094.0,5,0,5,0,0,5,0.0,
2026-04-09,3094.0,10,-10.0,3084.0,1,0,1,0,0,1,0.0,
2026-04-10,3084.0,10,-10.0,3074.0,1,0,1,0,0,1,0.0,
2026-04-11,3074.0,200,-190.0,2884.0,5,0,5,0,0,5,0.0,
2026-04-12,2884.0,80,243.0,3127.0,2,1,1,0,0,2,4.616,
2026-04-13,3127.0,170,-170.0,2957.0,4,0,4,0,0,4,0.0,
2026-04-14,2957.0,230,45.0,3002.0,5,1,4,0,0,5,5.709,
2026-04-15,3002.0,110,-110.0,2892.0,2,0,2,0,0,2,0.0,
2026-04-16,2892.0,220,67.0,2959.0,4,1,3,0,0,4,4.102,
2026-04-17,2959.0,410,427.0,3386.0,6,2,4,0,0,6,6.725,
2026-04-18,3386.0,100,394.0,3780.0,2,1,1,0,0,2,5.491,
2026-04-19,3780.0,10,-10.0,3770.0,1,0,1,0,0,1,0.0,
2026-04-20,3770.0,10,-10.0,3760.0,1,0,1,0,0,1,0.0,
2026-04-21,3760.0,260,121.0,3881.0,4,1,3,0,0,4,3.814,
2026-04-22,3881.0,90,-90.0,3791.0,2,0,2,0,0,2,0.0,
2026-04-23,3791.0,10,-10.0,3781.0,1,0,1,0,0,1,0.0,
2026-04-24,3781.0,430,-400.0,3381.0,6,0,6,0,0,6,0.0,
2026-04-25,3381.0,10,-10.0,3371.0,1,0,1,0,0,1,0.0,
2026-04-26,3371.0,320,846.0,4217.0,5,3,2,0,0,5,8.105,
2026-04-27,4217.0,460,-440.0,3777.0,4,0,4,0,0,4,0.0,
