date,bankroll_open,total_bet,total_pnl,bankroll_close,bets_count,wins,losses,single_bets,parlay_bets,highest_odds_hit,notes
2026-05-01,3000.0,1990,2085.0,5085.0,17,7,10,2,15,11.176,
2026-05-02,5085.0,1500,-662.0,4423.0,17,2,15,2,15,4.324,
2026-05-03,4423.0,2570,-1401.0,3022.0,17,2,15,2,15,3.598,
2026-05-04,3022.0,940,1514.0,4536.0,16,7,9,1,15,14.577,
2026-05-05,4536.0,2720,-1735.0,2801.0,17,1,16,2,15,2.644,
2026-05-06,2801.0,2440,-1670.0,1131.0,17,0,17,2,15,0.0,
2026-05-07,1131.0,310,-479.0,652.0,12,1,11,2,10,1.768,
2026-05-08,652.0,0,0,652.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-09,652.0,0,0,652.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-10,652.0,0,0,652.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-11,652.0,0,0,652.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-12,652.0,0,0,652.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-13,652.0,0,0,652.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-14,652.0,0,0,652.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-15,652.0,0,0,652.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-16,652.0,0,0,652.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-17,652.0,0,0,652.0,0,0,0,0,0,0,無 Edge≥4% 選場
