date,bankroll_open,total_bet,total_pnl,bankroll_close,bets_count,wins,losses,single_bets,parlay_bets,highest_odds_hit,notes
2026-05-01,3000.0,1500,1370.0,4370.0,13,7,6,4,9,5.737,
2026-05-02,4370.0,830,2637.0,7007.0,11,11,0,4,7,14.155,
2026-05-03,7007.0,3080,-1583.0,5424.0,13,2,11,4,9,2.027,
2026-05-04,5424.0,1270,997.0,6421.0,11,6,5,4,7,6.837,
2026-05-05,6421.0,2690,-1849.0,4572.0,12,1,11,4,8,2.245,
2026-05-06,4572.0,2910,-1833.0,2739.0,13,1,12,4,9,1.763,
2026-05-07,2739.0,1430,-896.0,1843.0,12,1,11,4,8,1.768,
2026-05-08,1843.0,210,-49.0,1794.0,3,1,2,2,1,1.873,
2026-05-09,1794.0,260,-281.0,1513.0,10,1,8,4,6,1.985,
2026-05-10,1513.0,250,-130.0,1383.0,10,2,8,4,6,2.223,
2026-05-11,1383.0,30,-70.0,1313.0,1,0,1,1,0,0.0,
2026-05-12,1313.0,140,63.0,1376.0,10,4,6,4,6,4.198,
2026-05-13,1376.0,70,-12.0,1364.0,7,3,4,3,4,3.948,
2026-05-14,1364.0,110,-250.0,1114.0,10,0,10,4,6,0.0,
2026-05-15,1114.0,140,-118.0,996.0,10,2,8,4,6,1.946,
2026-05-16,996.0,0,0,996.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-17,996.0,0,0,996.0,0,0,0,0,0,0,無 Edge≥4% 選場
