date,sport,game_id,bet_type,legs,bet_label,odds,true_prob,implied_prob,edge,grade,kelly_frac,bet_amount,bankroll_before,result,pnl,bankroll_after,notes
2026-04-01,PARLAY,823889+824136,2-parlay,2,2-串（馬林魚 勝、皇家 勝）,4.076,0.4,0.2453,0.6305,PARLAY,0.0307,90,3000.0,WIN,277.0,3277.0,
2026-04-01,PARLAY,823889+824211,2-parlay,2,2-串（馬林魚 勝、太空人 勝）,3.89,0.4151,0.2571,0.6147,PARLAY,0.0319,100,3277.0,WIN,289.0,3566.0,
2026-04-01,PARLAY,823889+824136+824211,3-parlay,3,3-串（馬林魚 勝、皇家 勝、太空人 勝）,9.176,0.222,0.109,1.0373,PARLAY,0.019,70,3566.0,WIN,572.0,4138.0,
2026-04-01,PARLAY,823889+824136+823483,3-parlay,3,3-串（馬林魚 勝、皇家 勝、國民 勝）,10.003,0.2026,0.1,1.027,PARLAY,0.0171,70,4138.0,LOSS,-70,4068.0,
2026-04-01,PARLAY,823889+824211+824860+823806,4-parlay,4,4-串（馬林魚 勝、太空人 勝、遊騎兵 勝、釀酒人 勝）,14.711,0.1478,0.068,1.1744,PARLAY,0.0128,50,4068.0,LOSS,-50,4018.0,
2026-04-01,PARLAY,823889+825106+824136+824211+823483,5-parlay,5,5-串（馬林魚 勝、響尾蛇 勝、皇家 勝、太空人 勝、國民 勝）,63.545,0.0525,0.0157,2.3351,PARLAY,0.0033,10.0,4018.0,LOSS,-10.0,4008.0,強制五關 NT$10
2026-04-02,PARLAY,823242+825105,2-parlay,2,2-串（大都會 勝、勇士 勝）,3.9,0.3727,0.2564,0.4534,PARLAY,0.0235,90,4008.0,LOSS,-90,3918.0,
2026-04-02,PARLAY,823242+825105+824621+824133,4-parlay,4,4-串（大都會 勝、勇士 勝、白襪 勝、皇家 勝）,28.483,0.0602,0.0351,0.7141,PARLAY,0.0025,10.0,3918.0,LOSS,-10.0,3908.0,強制多關 NT$10（候選不足 5 場，實際 4 關）
2026-04-03,PARLAY,824299+825103,2-parlay,2,2-串（紅雀 勝、勇士 勝）,4.775,0.4098,0.2094,0.9565,PARLAY,0.038,150,3908.0,LOSS,-150,3758.0,
2026-04-03,PARLAY,824299+823406,2-parlay,2,2-串（紅雀 勝、海盜 勝）,4.062,0.4315,0.2462,0.7531,PARLAY,0.0369,140,3758.0,LOSS,-140,3618.0,
2026-04-03,PARLAY,824299+825103+823406,3-parlay,3,3-串（紅雀 勝、勇士 勝、海盜 勝）,9.421,0.2466,0.1061,1.3233,PARLAY,0.0236,90,3618.0,LOSS,-90,3528.0,
2026-04-03,PARLAY,824299+825103+823406+824621+823732,5-parlay,5,5-串（紅雀 勝、勇士 勝、海盜 勝、藍鳥 勝、雙城 勝）,50.605,0.0627,0.0198,2.1752,PARLAY,0.0026,10.0,3528.0,LOSS,-10.0,3518.0,強制五關 NT$10
2026-04-04,PARLAY,823730+825104,2-parlay,2,2-串（雙城 勝、勇士 勝）,3.731,0.5087,0.268,0.8981,PARLAY,0.0493,170,3518.0,LOSS,-170,3348.0,
2026-04-04,PARLAY,825104+823239,2-parlay,2,2-串（勇士 勝、大都會 勝）,4.758,0.3735,0.2102,0.7768,PARLAY,0.031,100,3348.0,LOSS,-100,3248.0,
2026-04-04,PARLAY,823730+825104+823239,3-parlay,3,3-串（雙城 勝、勇士 勝、大都會 勝）,8.269,0.2883,0.1209,1.384,PARLAY,0.0286,90,3248.0,LOSS,-90,3158.0,
2026-04-04,PARLAY,823730+825104+824134,3-parlay,3,3-串（雙城 勝、勇士 勝、釀酒人 勝）,7.672,0.2906,0.1303,1.2296,PARLAY,0.0276,90,3158.0,LOSS,-90,3068.0,
2026-04-04,PARLAY,823730+825104+823239+824134+824295,5-parlay,5,5-串（雙城 勝、勇士 勝、大都會 勝、釀酒人 勝、紅雀 勝）,31.86,0.1,0.0314,2.1854,PARLAY,0.0028,10.0,3068.0,LOSS,-10.0,3058.0,強制五關 NT$10
2026-04-05,PARLAY,825102+824296,2-parlay,2,2-串（勇士 勝、老虎 勝）,3.717,0.423,0.269,0.5721,PARLAY,0.0316,100,3058.0,LOSS,-100,2958.0,
2026-04-05,PARLAY,825102+823729+824296+824379+825025,5-parlay,5,5-串（勇士 勝、雙城 勝、老虎 勝、洛磯 勝、太空人 勝）,33.735,0.0764,0.0296,1.5764,PARLAY,0.0033,10.0,2958.0,LOSS,-10.0,2948.0,強制五關 NT$10
2026-04-06,PARLAY,824376+823237,2-parlay,2,2-串（洛磯 勝、費城人 勝）,4.45,0.361,0.2247,0.6067,PARLAY,0.0264,80,2948.0,WIN,276.0,3224.0,
2026-04-06,PARLAY,824376+823237+823886+824456+824052,5-parlay,5,5-串（洛磯 勝、費城人 勝、紅人 勝、皇家 勝、勇士 勝）,50.613,0.0528,0.0198,1.6735,PARLAY,0.0034,10.0,3224.0,LOSS,-10.0,3214.0,強制五關 NT$10
2026-04-07,PARLAY,824375+822831,2-parlay,2,2-串（洛磯 勝、道奇 勝）,4.995,0.3181,0.2002,0.5887,PARLAY,0.0221,70,3214.0,WIN,280.0,3494.0,
2026-04-07,PARLAY,824375+824457,2-parlay,2,2-串（洛磯 勝、皇家 勝）,4.663,0.3334,0.2145,0.5546,PARLAY,0.0227,80,3494.0,LOSS,-80,3414.0,
2026-04-07,PARLAY,824375+822831+824457,3-parlay,3,3-串（洛磯 勝、道奇 勝、皇家 勝）,10.669,0.1771,0.0937,0.8895,PARLAY,0.0138,50,3414.0,LOSS,-50,3364.0,
