date,sport,game_id,bet_type,legs,bet_label,odds,true_prob,implied_prob,edge,grade,kelly_frac,bet_amount,bankroll_before,result,pnl,bankroll_after,notes
2026-04-01,PARLAY,823889+824136,2-parlay,2,2-串（馬林魚 勝、皇家 勝）,4.076,0.4,0.2453,0.6305,PARLAY,0.0246,70,3000.0,WIN,215.0,3215.0,
2026-04-01,PARLAY,823889+824136+824211,3-parlay,3,3-串（馬林魚 勝、皇家 勝、太空人 勝）,9.176,0.222,0.109,1.0373,PARLAY,0.0152,50,3215.0,WIN,409.0,3624.0,
2026-04-01,PARLAY,823889+824136+824211+824860+823806,5-parlay,5,5-串（馬林魚 勝、皇家 勝、太空人 勝、遊騎兵 勝、釀酒人 勝）,34.702,0.0791,0.0288,1.7433,PARLAY,0.0033,10.0,3624.0,LOSS,-10.0,3614.0,強制五關 NT$10
2026-04-02,PARLAY,823242+825105,2-parlay,2,2-串（大都會 勝、勇士 勝）,3.9,0.3727,0.2564,0.4534,PARLAY,0.0188,70,3614.0,LOSS,-70,3544.0,
2026-04-02,PARLAY,823242+825105,2-parlay,2,2-串（大都會 勝、勇士 勝）,3.9,0.3727,0.2564,0.4534,PARLAY,0.0028,10.0,3544.0,LOSS,-10.0,3534.0,強制多關 NT$10（候選不足 5 場，實際 2 關）
2026-04-03,PARLAY,824299+825103,2-parlay,2,2-串（紅雀 勝、勇士 勝）,4.775,0.4098,0.2094,0.9565,PARLAY,0.0304,110,3534.0,LOSS,-110,3424.0,
2026-04-03,PARLAY,824299+825103+823406,3-parlay,3,3-串（紅雀 勝、勇士 勝、海盜 勝）,9.421,0.2466,0.1061,1.3233,PARLAY,0.0189,60,3424.0,LOSS,-60,3364.0,
2026-04-03,PARLAY,824299+825103+823406+824621+824056,5-parlay,5,5-串（紅雀 勝、勇士 勝、海盜 勝、藍鳥 勝、水手 勝）,45.137,0.0686,0.0222,2.0968,PARLAY,0.0028,10.0,3364.0,LOSS,-10.0,3354.0,強制五關 NT$10
2026-04-04,PARLAY,823730+825104,2-parlay,2,2-串（雙城 勝、勇士 勝）,3.731,0.5087,0.268,0.8981,PARLAY,0.0395,130,3354.0,LOSS,-130,3224.0,
2026-04-04,PARLAY,823730+825104+823239,3-parlay,3,3-串（雙城 勝、勇士 勝、大都會 勝）,8.269,0.2883,0.1209,1.384,PARLAY,0.0228,70,3224.0,LOSS,-70,3154.0,
2026-04-04,PARLAY,823730+825104+823239+824134+824295,5-parlay,5,5-串（雙城 勝、勇士 勝、大都會 勝、釀酒人 勝、紅雀 勝）,31.86,0.1,0.0314,2.1854,PARLAY,0.003,10.0,3154.0,LOSS,-10.0,3144.0,強制五關 NT$10
2026-04-05,PARLAY,825102+824296,2-parlay,2,2-串（勇士 勝、老虎 勝）,3.717,0.423,0.269,0.5721,PARLAY,0.0253,80,3144.0,LOSS,-80,3064.0,
2026-04-05,PARLAY,825102+824296+824379+825025+824460,5-parlay,5,5-串（勇士 勝、老虎 勝、洛磯 勝、太空人 勝、守護者 勝）,23.966,0.0957,0.0417,1.2941,PARLAY,0.0032,10.0,3064.0,LOSS,-10.0,3054.0,強制五關 NT$10
2026-04-06,PARLAY,824376+823237,2-parlay,2,2-串（洛磯 勝、費城人 勝）,4.45,0.361,0.2247,0.6067,PARLAY,0.0211,60,3054.0,WIN,207.0,3261.0,
2026-04-06,PARLAY,824376+823237+824456+824052+823728,5-parlay,5,5-串（洛磯 勝、費城人 勝、皇家 勝、勇士 勝、老虎 勝）,39.645,0.0611,0.0252,1.4212,PARLAY,0.0033,10.0,3261.0,LOSS,-10.0,3251.0,強制五關 NT$10
2026-04-07,PARLAY,824375+822831,2-parlay,2,2-串（洛磯 勝、道奇 勝）,4.995,0.3181,0.2002,0.5887,PARLAY,0.0177,60,3251.0,WIN,240.0,3491.0,
2026-04-07,PARLAY,824375+822831+824457,3-parlay,3,3-串（洛磯 勝、道奇 勝、皇家 勝）,10.669,0.1771,0.0937,0.8895,PARLAY,0.011,40,3491.0,LOSS,-40,3451.0,
2026-04-07,PARLAY,824375+822831+824457+823648,4-parlay,4,4-串（洛磯 勝、道奇 勝、皇家 勝、響尾蛇 勝）,23.898,0.093,0.0418,1.2226,PARLAY,0.0031,10.0,3451.0,LOSS,-10.0,3441.0,強制多關 NT$10（候選不足 5 場，實際 4 關）
2026-04-08,PARLAY,822833+823234,2-parlay,2,2-串（道奇 勝、費城人 勝）,4.599,0.3505,0.2174,0.6121,PARLAY,0.0204,70,3441.0,LOSS,-70,3371.0,
2026-04-08,PARLAY,822833+823234+823564,3-parlay,3,3-串（道奇 勝、費城人 勝、洋基 勝）,8.366,0.2283,0.1195,0.9096,PARLAY,0.0148,50,3371.0,LOSS,-50,3321.0,
2026-04-08,PARLAY,822833+823234+823564+823000+823403,5-parlay,5,5-串（道奇 勝、費城人 勝、洋基 勝、光芒 勝、海盜 勝）,32.073,0.0732,0.0312,1.3467,PARLAY,0.0029,10.0,3321.0,LOSS,-10.0,3311.0,強制五關 NT$10
2026-04-10,PARLAY,823482+822829+823076+824534+824695,5-parlay,5,5-串（響尾蛇 勝、藍鳥 勝、紅雀 勝、紅人 勝、小熊 勝）,27.17,0.0742,0.0368,1.0149,PARLAY,0.003,10.0,3311.0,LOSS,-10.0,3301.0,強制五關 NT$10
2026-04-11,PARLAY,824939+823644,2-parlay,2,2-串（勇士 勝、運動家 勝）,5.294,0.2908,0.1889,0.5397,PARLAY,0.0151,50,3301.0,LOSS,-50,3251.0,
2026-04-11,PARLAY,824939+823644+823967,3-parlay,3,3-串（勇士 勝、運動家 勝、遊騎兵 勝）,11.595,0.1567,0.0862,0.8165,PARLAY,0.0092,30,3251.0,LOSS,-30,3221.0,
2026-04-11,PARLAY,824939+823644+823155+823967+824294,5-parlay,5,5-串（勇士 勝、運動家 勝、水手 勝、遊騎兵 勝、老虎 勝）,42.808,0.0553,0.0234,1.3667,PARLAY,0.003,10.0,3221.0,LOSS,-10.0,3211.0,強制五關 NT$10
2026-04-12,PARLAY,823642+824859,2-parlay,2,2-串（運動家 勝、金鶯 勝）,4.616,0.3386,0.2166,0.5629,PARLAY,0.0187,60,3211.0,WIN,217.0,3428.0,
2026-04-12,PARLAY,823642+824859+823154+824938+824533,5-parlay,5,5-串（運動家 勝、金鶯 勝、水手 勝、勇士 勝、天使 勝）,31.904,0.0694,0.0313,1.214,PARLAY,0.0031,10.0,3428.0,WIN,309.0,3737.0,強制五關 NT$10
2026-04-13,PARLAY,823073+825024,2-parlay,2,2-串（紅雀 勝、運動家 勝）,5.328,0.2999,0.1877,0.5978,PARLAY,0.0166,60,3737.0,LOSS,-60,3677.0,
2026-04-13,PARLAY,823073+825024+823563,3-parlay,3,3-串（紅雀 勝、運動家 勝、洋基 勝）,10.534,0.179,0.0949,0.885,PARLAY,0.0111,40,3677.0,LOSS,-40,3637.0,
2026-04-13,PARLAY,823073+825024+823563+823153+824937,5-parlay,5,5-串（紅雀 勝、運動家 勝、洋基 勝、水手 勝、馬林魚 勝）,40.985,0.0597,0.0244,1.445,PARLAY,0.0027,10.0,3637.0,LOSS,-10.0,3627.0,強制五關 NT$10
2026-04-14,PARLAY,824935+824853,2-parlay,2,2-串（馬林魚 勝、金鶯 勝）,3.144,0.4464,0.3181,0.4035,PARLAY,0.0226,80,3627.0,LOSS,-80,3547.0,
2026-04-14,PARLAY,824935+824853+823398+824210+823562,5-parlay,5,5-串（馬林魚 勝、金鶯 勝、海盜 勝、太空人 勝、洋基 勝）,20.3,0.1003,0.0493,1.036,PARLAY,0.0028,10.0,3547.0,LOSS,-10.0,3537.0,強制五關 NT$10
2026-04-15,PARLAY,823803+823477,2-parlay,2,2-串（藍鳥 勝、小熊 勝）,3.719,0.4287,0.2689,0.5943,PARLAY,0.0262,90,3537.0,LOSS,-90,3447.0,
2026-04-15,PARLAY,823803+823477+824855+823399+824532,5-parlay,5,5-串（藍鳥 勝、小熊 勝、金鶯 勝、海盜 勝、紅人 勝）,26.634,0.0868,0.0375,1.3123,PARLAY,0.0028,10.0,3447.0,LOSS,-10.0,3437.0,強制五關 NT$10
2026-04-16,PARLAY,823313+823396,2-parlay,2,2-串（教士 勝、海盜 勝）,3.59,0.4252,0.2786,0.5265,PARLAY,0.0244,80,3437.0,LOSS,-80,3357.0,
2026-04-16,PARLAY,823313+823396+824289,3-parlay,3,3-串（教士 勝、海盜 勝、老虎 勝）,7.621,0.2349,0.1312,0.7904,PARLAY,0.0143,50,3357.0,LOSS,-50,3307.0,
2026-04-16,PARLAY,823313+823396+824289+823801,4-parlay,4,4-串（教士 勝、海盜 勝、老虎 勝、藍鳥 勝）,13.817,0.1447,0.0724,0.9992,PARLAY,0.0029,10.0,3307.0,LOSS,-10.0,3297.0,強制多關 NT$10（候選不足 5 場，實際 4 關）
2026-04-17,PARLAY,824693+824454,2-parlay,2,2-串（小熊 勝、金鶯 勝）,3.956,0.4145,0.2528,0.6398,PARLAY,0.026,90,3297.0,WIN,266.0,3563.0,
2026-04-17,PARLAY,824693+824207+824454,3-parlay,3,3-串（小熊 勝、太空人 勝、金鶯 勝）,7.191,0.2636,0.1391,0.8958,PARLAY,0.0174,60,3563.0,LOSS,-60,3503.0,
2026-04-17,PARLAY,824693+823559+824207+824454+823152,5-parlay,5,5-串（小熊 勝、洋基 勝、太空人 勝、金鶯 勝、遊騎兵 勝）,24.01,0.1047,0.0416,1.5141,PARLAY,0.003,10.0,3503.0,LOSS,-10.0,3493.0,強制五關 NT$10
2026-04-18,PARLAY,824694+823558,2-parlay,2,2-串（小熊 勝、洋基 勝）,5.491,0.3255,0.1821,0.7871,PARLAY,0.021,70,3493.0,WIN,314.0,3807.0,
2026-04-18,PARLAY,824694+823558+823394+823882+823721,5-parlay,5,5-串（小熊 勝、洋基 勝、海盜 勝、釀酒人 勝、雙城 勝）,42.991,0.061,0.0233,1.6204,PARLAY,0.0029,10.0,3807.0,LOSS,-10.0,3797.0,強制五關 NT$10
2026-04-19,PARLAY,824452+824047+822750+824371+825018,5-parlay,5,5-串（金鶯 勝、教士 勝、巨人 勝、洛磯 勝、白襪 勝）,36.613,0.0543,0.0273,0.988,PARLAY,0.0026,10.0,3797.0,LOSS,-10.0,3787.0,強制五關 NT$10
2026-04-20,PARLAY,823879+824692+824450,3-parlay,3,3-串（馬林魚 勝、小熊 勝、太空人 勝）,7.005,0.1876,0.1428,0.3142,PARLAY,0.0026,10.0,3787.0,WIN,60.0,3847.0,強制多關 NT$10（候選不足 5 場，實際 3 關）
2026-04-21,PARLAY,823236+824127,2-parlay,2,2-串（巨人 勝、金鶯 勝）,4.184,0.364,0.239,0.5233,PARLAY,0.0197,80,3847.0,LOSS,-80,3767.0,
2026-04-21,PARLAY,823236+824369+824127,3-parlay,3,3-串（巨人 勝、教士 勝、金鶯 勝）,8.565,0.2087,0.1168,0.7879,PARLAY,0.0125,50,3767.0,LOSS,-50,3717.0,
2026-04-21,PARLAY,823236+824369+824127+824690+822995,5-parlay,5,5-串（巨人 勝、教士 勝、金鶯 勝、費城人 勝、紅人 勝）,33.557,0.0659,0.0298,1.2101,PARLAY,0.0026,10.0,3717.0,LOSS,-10.0,3707.0,強制五關 NT$10
2026-04-22,PARLAY,823147+825097,2-parlay,2,2-串（運動家 勝、響尾蛇 勝）,3.712,0.3735,0.2694,0.3863,PARLAY,0.0171,60,3707.0,LOSS,-60,3647.0,
2026-04-22,PARLAY,823147+825097+824367+822913+823878,5-parlay,5,5-串（運動家 勝、響尾蛇 勝、教士 勝、海盜 勝、馬林魚 勝）,24.023,0.0843,0.0416,1.0262,PARLAY,0.0027,10.0,3647.0,LOSS,-10.0,3637.0,強制五關 NT$10
2026-04-23,PARLAY,823639+823233+824770,3-parlay,3,3-串（雙城 勝、巨人 勝、洋基 勝）,7.694,0.1942,0.13,0.4941,PARLAY,0.0027,10.0,3637.0,LOSS,-10.0,3627.0,強制多關 NT$10（候選不足 5 場，實際 3 關）
2026-04-24,PARLAY,822992+824204,2-parlay,2,2-串（雙城 勝、洋基 勝）,3.573,0.4187,0.2799,0.4963,PARLAY,0.0231,80,3627.0,LOSS,-80,3547.0,
2026-04-24,PARLAY,822992+824204+823800,3-parlay,3,3-串（雙城 勝、洋基 勝、海盜 勝）,6.615,0.2651,0.1512,0.7534,PARLAY,0.0161,60,3547.0,LOSS,-60,3487.0,
2026-04-24,PARLAY,822992+824204+823800+823232,4-parlay,4,4-串（雙城 勝、洋基 勝、海盜 勝、馬林魚 勝）,11.549,0.1731,0.0866,0.9987,PARLAY,0.0114,40,3487.0,LOSS,-40,3447.0,
