date,sport,game_id,bet_type,legs,bet_label,odds,true_prob,implied_prob,edge,grade,kelly_frac,bet_amount,bankroll_before,result,pnl,bankroll_after,notes
2026-06-02,PARLAY,824754+822971,2-parlay,2,2-串（紅襪 勝、光芒 勝）,4.639,0.3324,0.2156,0.5419,PARLAY,0.0149,40,3000.0,LOSS,-40,2960.0,
2026-06-02,PARLAY,824754+822971+824511+823460+823541,5-parlay,5,5-串（紅襪 勝、光芒 勝、紅人 勝、教士 勝、守護者 勝）,66.671,0.029,0.015,0.9335,PARLAY,0.0033,10.0,2960.0,LOSS,-10.0,2950.0,強制五關 NT$10
2026-06-03,PARLAY,823130+0042500401+824024,3-parlay,3,3-串（大都會 勝、尼克 勝、洛磯 勝）,13.864,0.0273,0.0721,-0.6214,PARLAY,0.0034,10.0,2950.0,VOID,0.0,2950.0,強制多關 NT$10（候選不足 5 場，實際 3 關）
2026-06-06,PARLAY,823454+824269+823048,3-parlay,3,3-串（白襪 勝、老虎 勝、紅人 勝）,9.382,0.0841,0.1066,-0.2107,PARLAY,0.0034,10.0,2950.0,LOSS,-10.0,2940.0,強制多關 NT$10（候選不足 5 場，實際 3 關）
2026-06-07,PARLAY,823941+822807+822890+824916+823537,5-parlay,5,5-串（天使 勝、金鶯 勝、守護者 勝、海盜 勝、紅襪 勝）,69.308,0.0239,0.0144,0.6542,PARLAY,0.0034,10.0,2940.0,LOSS,-10.0,2930.0,強制五關 NT$10
2026-06-08,PARLAY,824427+824998+0042500403+823289,4-parlay,4,4-串（洋基 勝、運動家 勝、馬刺 勝、紅人 勝）,40.07,0.0219,0.025,-0.1228,PARLAY,0.0034,10.0,2930.0,LOSS,-10.0,2920.0,強制多關 NT$10（候選不足 5 場，實際 4 關）
2026-06-09,PARLAY,823290+824023,2-parlay,2,2-串（紅人 勝、天使 勝）,4.505,0.3663,0.222,0.6499,PARLAY,0.0185,50,2920.0,WIN,175.0,3095.0,
2026-06-09,PARLAY,823290+824023,2-parlay,2,2-串（紅人 勝、天使 勝）,4.505,0.3663,0.222,0.6499,PARLAY,0.0034,10.0,3095.0,WIN,35.0,3130.0,強制多關 NT$10（候選不足 5 場，實際 2 關）
2026-06-10,PARLAY,824348+824831,2-parlay,2,2-串（小熊 勝、金鶯 勝）,4.732,0.4337,0.2113,1.0521,PARLAY,0.0282,90,3130.0,LOSS,-90,3040.0,
2026-06-10,PARLAY,824348+824831+824103,3-parlay,3,3-串（小熊 勝、金鶯 勝、遊騎兵 勝）,9.932,0.2683,0.1007,1.6646,PARLAY,0.0186,60,3040.0,LOSS,-60,2980.0,
2026-06-10,PARLAY,824348+824831+824103+824428+823618,5-parlay,5,5-串（小熊 勝、金鶯 勝、遊騎兵 勝、洋基 勝、紅雀 勝）,51.054,0.0691,0.0196,2.5303,PARLAY,0.0032,10.0,2980.0,LOSS,-10.0,2970.0,強制五關 NT$10
2026-06-12,PARLAY,823370+824588,2-parlay,2,2-串（馬林魚 勝、白襪 勝）,4.908,0.3182,0.2037,0.5616,PARLAY,0.0144,40,2970.0,WIN,156.0,3126.0,
2026-06-12,PARLAY,823370+824588+824425,3-parlay,3,3-串（馬林魚 勝、白襪 勝、老虎 勝）,9.889,0.184,0.1011,0.8201,PARLAY,0.0092,30,3126.0,LOSS,-30,3096.0,
2026-06-12,PARLAY,823370+824588+824425+823695+824752,5-parlay,5,5-串（馬林魚 勝、白襪 勝、老虎 勝、紅雀 勝、遊騎兵 勝）,45.978,0.0503,0.0217,1.313,PARLAY,0.0034,10.0,3096.0,LOSS,-10.0,3086.0,強制五關 NT$10
2026-06-13,PARLAY,823213+823694,2-parlay,2,2-串（小熊 勝、紅雀 勝）,4.502,0.3571,0.2221,0.6076,PARLAY,0.0174,50,3086.0,WIN,175.0,3261.0,
2026-06-13,PARLAY,823213+823694+0042500405,3-parlay,3,3-串（小熊 勝、紅雀 勝、尼克 勝）,12.195,0.139,0.082,0.6953,PARLAY,0.0032,10.0,3261.0,VOID,0.0,3261.0,強制多關 NT$10（候選不足 5 場，實際 3 關）
2026-06-14,PARLAY,824823+823615,2-parlay,2,2-串（教士 勝、勇士 勝）,4.564,0.3014,0.2191,0.3754,PARLAY,0.0105,30,3261.0,LOSS,-30,3231.0,
2026-06-14,PARLAY,824823+823615+824586+823368+824099,5-parlay,5,5-串（教士 勝、勇士 勝、白襪 勝、馬林魚 勝、太空人 勝）,57.043,0.0272,0.0175,0.5544,PARLAY,0.0031,10.0,3231.0,LOSS,-10.0,3221.0,強制五關 NT$10
2026-06-16,PARLAY,824667+823451,2-parlay,2,2-串（洛磯 勝、馬林魚 勝）,7.303,0.2901,0.1369,1.1189,PARLAY,0.0178,60,3221.0,LOSS,-60,3161.0,
2026-06-16,PARLAY,823451+823045+822888,3-parlay,3,3-串（馬林魚 勝、教士 勝、雙城 勝）,14.505,0.1516,0.0689,1.1993,PARLAY,0.0089,30,3161.0,LOSS,-30,3131.0,
2026-06-16,PARLAY,824667+823451+823045+823939+822888,5-parlay,5,5-串（洛磯 勝、馬林魚 勝、教士 勝、光芒 勝、雙城 勝）,102.359,0.0413,0.0098,3.2252,PARLAY,0.0031,10.0,3131.0,LOSS,-10.0,3121.0,強制五關 NT$10
2026-06-17,PARLAY,823940+824913+824668+823774+822721,5-parlay,5,5-串（光芒 勝、勇士 勝、洛磯 勝、釀酒人 勝、國民 勝）,70.371,0.0248,0.0142,0.7468,PARLAY,0.0032,10.0,3121.0,LOSS,-10.0,3111.0,強制五關 NT$10
2026-06-18,PARLAY,823533+824911,2-parlay,2,2-串（白襪 勝、巨人 勝）,5.798,0.28,0.1725,0.6232,PARLAY,0.013,40,3111.0,VOID,0.0,3111.0,
2026-06-18,PARLAY,823533+824911+824748,3-parlay,3,3-串（白襪 勝、巨人 勝、藍鳥 勝）,12.193,0.1595,0.082,0.945,PARLAY,0.0084,30,3111.0,VOID,0.0,3111.0,
2026-06-18,PARLAY,823533+824911+824748+823125+823772,5-parlay,5,5-串（白襪 勝、巨人 勝、藍鳥 勝、金鶯 勝、守護者 勝）,52.668,0.033,0.019,0.7392,PARLAY,0.0032,10.0,3111.0,VOID,0.0,3111.0,強制五關 NT$10
2026-06-20,PARLAY,822885+824342+823447+824180+823937,5-parlay,5,5-串（教士 勝、洛磯 勝、大都會 勝、守護者 勝、金鶯 勝）,101.403,0.012,0.0099,0.2125,PARLAY,0.0032,10.0,3111.0,LOSS,-10.0,3101.0,強制五關 NT$10
2026-06-21,PARLAY,823934+824343,2-parlay,2,2-串（金鶯 勝、洛磯 勝）,7.299,0.2962,0.137,1.1616,PARLAY,0.0184,60,3101.0,LOSS,-60,3041.0,
2026-06-21,PARLAY,823934+824343+823531,3-parlay,3,3-串（金鶯 勝、洛磯 勝、紅人 勝）,14.991,0.1735,0.0667,1.6016,PARLAY,0.0114,30,3041.0,LOSS,-30,3011.0,
2026-06-21,PARLAY,823934+824343+823531+823852+823123,5-parlay,5,5-串（金鶯 勝、洛磯 勝、紅人 勝、馬林魚 勝、紅襪 勝）,66.524,0.0474,0.015,2.152,PARLAY,0.0032,10.0,3011.0,LOSS,-10.0,3001.0,強制五關 NT$10
2026-06-23,PARLAY,823614+822718,2-parlay,2,2-串（大都會 勝、費城人 勝）,4.219,0.5236,0.237,1.2088,PARLAY,0.0376,110,3001.0,LOSS,-110,2891.0,
2026-06-23,PARLAY,823614+822718+824501,3-parlay,3,3-串（大都會 勝、費城人 勝、紅人 勝）,9.695,0.3011,0.1031,1.919,PARLAY,0.0221,60,2891.0,LOSS,-60,2831.0,
2026-06-23,PARLAY,823614+822718+824501+823690+822963,5-parlay,5,5-串（大都會 勝、費城人 勝、紅人 勝、雙城 勝、皇家 勝）,56.072,0.0599,0.0178,2.3603,PARLAY,0.0033,10.0,2831.0,LOSS,-10.0,2821.0,強制五關 NT$10
2026-06-24,PARLAY,822965+823691,2-parlay,2,2-串（皇家 勝、雙城 勝）,6.511,0.2919,0.1536,0.9005,PARLAY,0.0163,50,2821.0,LOSS,-50,2771.0,
2026-06-24,PARLAY,822965+823691+823208,3-parlay,3,3-串（皇家 勝、雙城 勝、運動家 勝）,14.265,0.1514,0.0701,1.159,PARLAY,0.0087,20,2771.0,LOSS,-20,2751.0,
2026-06-24,PARLAY,822965+823691+823208+822719+823367,5-parlay,5,5-串（皇家 勝、雙城 勝、運動家 勝、國民 勝、海盜 勝）,72.004,0.031,0.0139,1.2308,PARLAY,0.0035,10.0,2751.0,LOSS,-10.0,2741.0,強制五關 NT$10
2026-06-25,PARLAY,822961+823366,2-parlay,2,2-串（皇家 勝、水手 勝）,4.549,0.3216,0.2198,0.463,PARLAY,0.013,40,2741.0,LOSS,-40,2701.0,
