date,bankroll_open,total_bet,total_pnl,bankroll_close,bets_count,wins,losses,single_bets,parlay_bets,highest_odds_hit,notes
2026-04-01,3000.0,1080,2018.0,5018.0,10,7,3,4,6,9.176,
2026-04-02,5018.0,660,-160.0,4858.0,3,1,2,2,1,2.226,
2026-04-03,4858.0,1890,-737.0,4121.0,10,2,8,4,6,2.319,
2026-04-04,4121.0,1840,-1191.0,2930.0,10,1,9,4,6,2.216,
2026-04-05,2930.0,1140,-805.0,2125.0,11,1,10,4,7,1.705,
2026-04-06,2125.0,640,905.0,3030.0,10,6,4,4,6,9.23,
2026-04-07,3030.0,890,157.0,3187.0,10,3,7,4,6,4.995,
2026-04-08,3187.0,1040,-910.0,2277.0,10,0,10,4,6,0.0,
2026-04-09,2277.0,110,-110.0,2167.0,1,0,1,1,0,0.0,
2026-04-10,2167.0,600,455.0,2622.0,11,6,5,4,7,6.989,
2026-04-11,2622.0,690,-180.0,2442.0,10,2,8,4,6,2.252,
2026-04-12,2442.0,710,2546.0,4988.0,10,10,0,4,6,9.047,
2026-04-13,4988.0,1450,-606.0,4382.0,10,2,8,4,6,1.977,
2026-04-14,4382.0,1590,-1120.0,3262.0,11,1,10,4,7,1.798,
2026-04-15,3262.0,1180,-648.0,2614.0,11,2,9,4,7,2.08,
2026-04-16,2614.0,910,-76.0,2538.0,11,3,8,4,7,4.102,
2026-04-17,2538.0,1070,849.0,3387.0,11,6,5,4,7,6.725,
2026-04-18,3387.0,1070,2047.0,5434.0,10,6,4,4,6,12.08,
2026-04-19,5434.0,1290,-763.0,4671.0,10,2,8,4,6,2.04,
2026-04-20,4671.0,480,986.0,5657.0,7,7,0,3,4,7.005,
2026-04-21,5657.0,1710,160.0,5817.0,10,3,7,4,6,3.814,
2026-04-22,5817.0,1690,-751.0,5066.0,11,2,9,4,7,1.872,
2026-04-23,5066.0,810,-559.0,4507.0,7,1,6,3,4,1.842,
2026-04-24,4507.0,1690,-434.0,4073.0,11,3,8,4,7,1.851,
2026-04-25,4073.0,1360,-944.0,3129.0,11,1,10,4,7,1.774,
2026-04-26,3129.0,1060,1014.0,4143.0,10,6,4,4,6,8.105,
2026-04-27,4143.0,1690,-667.0,3476.0,10,2,8,4,6,2.281,
2026-04-28,3476.0,1530,-179.0,3297.0,11,3,8,4,7,4.356,
2026-04-29,3297.0,1250,2406.0,5703.0,10,5,5,4,6,13.887,
2026-04-30,5703.0,2080,-1281.0,4422.0,10,1,9,4,6,2.331,
2026-05-01,4422.0,2110,2178.0,6600.0,11,7,4,4,7,5.737,
