date,bankroll_open,total_bet,total_pnl,bankroll_close,bets_count,wins,losses,single_bets,parlay_bets,highest_odds_hit,notes
2026-04-01,3000.0,70,215.0,3215.0,1,1,0,0,1,4.076,
2026-04-02,3215.0,60,-60.0,3155.0,1,0,1,0,1,0.0,
2026-04-03,3155.0,100,-100.0,3055.0,1,0,1,0,1,0.0,
2026-04-04,3055.0,120,-120.0,2935.0,1,0,1,0,1,0.0,
2026-04-05,2935.0,70,-70.0,2865.0,1,0,1,0,1,0.0,
2026-04-06,2865.0,60,207.0,3072.0,1,1,0,0,1,4.45,
2026-04-07,3072.0,50,200.0,3272.0,1,1,0,0,1,4.995,
2026-04-08,3272.0,70,-70.0,3202.0,1,0,1,0,1,0.0,
2026-04-09,3202.0,0,0,3202.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-10,3202.0,0,0,3202.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-11,3202.0,50,-50.0,3152.0,1,0,1,0,1,0.0,
2026-04-12,3152.0,60,217.0,3369.0,1,1,0,0,1,4.616,
2026-04-13,3369.0,60,-60.0,3309.0,1,0,1,0,1,0.0,
2026-04-14,3309.0,70,-70.0,3239.0,1,0,1,0,1,0.0,
2026-04-15,3239.0,80,-80.0,3159.0,1,0,1,0,1,0.0,
2026-04-16,3159.0,80,-80.0,3079.0,1,0,1,0,1,0.0,
2026-04-17,3079.0,80,236.0,3315.0,1,1,0,0,1,3.956,
2026-04-18,3315.0,70,314.0,3629.0,1,1,0,0,1,5.491,
2026-04-19,3629.0,0,0,3629.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-20,3629.0,0,0,3629.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-21,3629.0,70,-70.0,3559.0,1,0,1,0,1,0.0,
2026-04-22,3559.0,60,-60.0,3499.0,1,0,1,0,1,0.0,
2026-04-23,3499.0,0,0,3499.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-24,3499.0,80,-80.0,3419.0,1,0,1,0,1,0.0,
2026-04-25,3419.0,0,0,3419.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-26,3419.0,80,210.0,3629.0,1,1,0,0,1,3.62,
2026-04-27,3629.0,120,-120.0,3509.0,1,0,1,0,1,0.0,
2026-04-28,3509.0,90,302.0,3811.0,1,1,0,0,1,4.356,
2026-04-29,3811.0,100,601.0,4412.0,1,1,0,0,1,7.01,
2026-04-30,4412.0,100,-100.0,4312.0,1,0,1,0,1,0.0,
2026-05-01,4312.0,120,285.0,4597.0,1,1,0,0,1,3.375,
2026-05-02,4597.0,0,0,4597.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-03,4597.0,130,-130.0,4467.0,1,0,1,0,1,0.0,
2026-05-04,4467.0,0,0,4467.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-05,4467.0,130,-130.0,4337.0,1,0,1,0,1,0.0,
2026-05-06,4337.0,150,-150.0,4187.0,1,0,1,0,1,0.0,
2026-05-07,4187.0,140,-140.0,4047.0,1,0,1,0,1,0.0,
2026-05-08,4047.0,100,-100.0,3947.0,1,0,1,0,1,0.0,
2026-05-09,3947.0,0,0,3947.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-10,3947.0,60,-60.0,3887.0,1,0,1,0,1,0.0,
2026-05-11,3887.0,0,0,3887.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-12,3887.0,70,-70.0,3817.0,1,0,1,0,1,0.0,
2026-05-13,3817.0,0,0,3817.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-14,3817.0,0,0,3817.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-15,3817.0,90,-90.0,3727.0,1,0,1,0,1,0.0,
2026-05-16,3727.0,110,470.0,4197.0,1,1,0,0,1,5.276,
2026-05-17,4197.0,0,0,4197.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-18,4197.0,60,-60.0,4137.0,1,0,1,0,1,0.0,
2026-05-19,4137.0,0,0,4137.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-20,4137.0,0,0,4137.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-21,4137.0,0,0,4137.0,0,0,0,0,0,0,無賽事
2026-05-22,4137.0,0,0,4137.0,0,0,0,0,0,0,無 Edge≥4% 選場
