date,bankroll_open,total_bet,total_pnl,bankroll_close,bets_count,wins,losses,voids,single_bets,parlay_bets,highest_odds_hit,notes
2026-06-01,3000.0,0,0,3000.0,0,0,0,0,0,0,0,無賽事
2026-06-02,3000.0,50,-50.0,2950.0,2,0,2,0,0,2,0.0,
2026-06-03,2950.0,10,0.0,2950.0,1,0,0,1,0,1,0.0,
2026-06-04,2950.0,0,0,2950.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-05,2950.0,0,0,2950.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-06,2950.0,10,-10.0,2940.0,1,0,1,0,0,1,0.0,
2026-06-07,2940.0,10,-10.0,2930.0,1,0,1,0,0,1,0.0,
2026-06-08,2930.0,10,-10.0,2920.0,1,0,1,0,0,1,0.0,
2026-06-09,2920.0,60,210.0,3130.0,2,2,0,0,0,2,4.505,
2026-06-10,3130.0,160,-160.0,2970.0,3,0,3,0,0,3,0.0,
2026-06-11,2970.0,0,0,2970.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-12,2970.0,80,116.0,3086.0,3,1,2,0,0,3,4.908,
2026-06-13,3086.0,60,175.0,3261.0,2,1,0,1,0,2,4.502,
2026-06-14,3261.0,40,-40.0,3221.0,2,0,2,0,0,2,0.0,
2026-06-15,3221.0,0,0,3221.0,0,0,0,0,0,0,0,無賽事
2026-06-16,3221.0,100,-100.0,3121.0,3,0,3,0,0,3,0.0,
2026-06-17,3121.0,10,-10.0,3111.0,1,0,1,0,0,1,0.0,
2026-06-18,3111.0,80,0.0,3111.0,3,0,0,3,0,3,0.0,
2026-06-19,3111.0,0,0,3111.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-20,3111.0,10,-10.0,3101.0,1,0,1,0,0,1,0.0,
2026-06-21,3101.0,110,-100.0,3001.0,3,0,3,0,0,3,0.0,
2026-06-22,3001.0,0,0,3001.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-23,3001.0,190,-180.0,2821.0,3,0,3,0,0,3,0.0,
2026-06-24,2821.0,80,-80.0,2741.0,3,0,3,0,0,3,0.0,
2026-06-25,2741.0,50,-50.0,2691.0,2,0,2,0,0,2,0.0,
2026-06-26,2691.0,0,0,2691.0,0,0,0,0,0,0,0,無賽事
2026-06-27,2691.0,0,0,2691.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-28,2691.0,10,-10.0,2681.0,1,0,1,0,0,1,0.0,
2026-06-29,2681.0,0,0,2681.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-30,2681.0,90,-90.0,2591.0,3,0,3,0,0,3,0.0,
2026-07-01,2591.0,70,-70.0,2521.0,3,0,3,0,0,3,0.0,
2026-07-02,2521.0,0,0,2521.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-07-03,2521.0,10,-10.0,2511.0,1,0,1,0,0,1,0.0,
2026-07-04,2511.0,10,-10.0,2501.0,1,0,1,0,0,1,0.0,
2026-07-05,2501.0,120,-120.0,2381.0,3,0,3,0,0,3,0.0,
2026-07-06,2381.0,10,-10.0,2371.0,1,0,1,0,0,1,0.0,
2026-07-07,2371.0,0,0,2371.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-07-08,2371.0,50,-50.0,2321.0,2,0,2,0,0,2,0.0,
2026-07-09,2321.0,40,-40.0,2281.0,2,0,2,0,0,2,0.0,
2026-07-10,2281.0,80,-80.0,2201.0,3,0,3,0,0,3,0.0,
2026-07-11,2201.0,80,-80.0,2121.0,3,0,3,0,0,3,0.0,
2026-07-12,2121.0,60,87.0,2208.0,3,1,2,0,0,3,4.906,
2026-07-13,2208.0,0,0,2208.0,0,0,0,0,0,0,0,無賽事
