date,bankroll_open,total_bet,total_pnl,bankroll_close,bets_count,wins,losses,voids,single_bets,parlay_bets,highest_odds_hit,notes
2026-06-01,3000.0,0,0,3000.0,0,0,0,0,0,0,0,無賽事
2026-06-02,3000.0,80,-80.0,2920.0,2,0,2,0,0,2,0.0,
2026-06-03,2920.0,10,-10.0,2910.0,1,0,1,0,0,1,0.0,
2026-06-04,2910.0,0,0,2910.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-05,2910.0,0,0,2910.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-06,2910.0,90,217.0,3127.0,2,1,1,0,0,2,3.834,
2026-06-07,3127.0,10,-10.0,3117.0,1,0,1,0,0,1,0.0,
2026-06-08,3117.0,10,-10.0,3107.0,1,0,1,0,0,1,0.0,
2026-06-09,3107.0,100,350.0,3457.0,2,2,0,0,0,2,4.505,
2026-06-10,3457.0,510,-480.0,2977.0,5,0,5,0,0,5,0.0,
2026-06-11,2977.0,0,0,2977.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-12,2977.0,370,1125.0,4102.0,5,3,2,0,0,5,8.353,
2026-06-13,4102.0,350,110.0,4212.0,4,1,3,0,0,4,4.502,
2026-06-14,4212.0,310,-300.0,3912.0,4,0,4,0,0,4,0.0,
2026-06-15,3912.0,0,0,3912.0,0,0,0,0,0,0,0,無賽事
2026-06-16,3912.0,210,-210.0,3702.0,3,0,3,0,0,3,0.0,
2026-06-17,3702.0,150,-150.0,3552.0,2,0,2,0,0,2,0.0,
2026-06-18,3552.0,190,301.0,3853.0,4,1,0,3,0,4,5.306,
2026-06-19,3853.0,10,-10.0,3843.0,1,0,1,0,0,1,0.0,
2026-06-20,3843.0,10,-10.0,3833.0,1,0,1,0,0,1,0.0,
2026-06-21,3833.0,360,321.0,4154.0,5,1,4,0,0,5,6.811,
2026-06-22,4154.0,0,0,4154.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-23,4154.0,690,-640.0,3514.0,5,0,5,0,0,5,0.0,
2026-06-24,3514.0,230,-220.0,3294.0,4,0,4,0,0,4,0.0,
2026-06-25,3294.0,70,-70.0,3224.0,2,0,2,0,0,2,0.0,
2026-06-26,3224.0,0,0,3224.0,0,0,0,0,0,0,0,無賽事
2026-06-27,3224.0,10,24.0,3248.0,1,1,0,0,0,1,3.43,
2026-06-28,3248.0,10,-10.0,3238.0,1,0,1,0,0,1,0.0,
2026-06-29,3238.0,0,0,3238.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-30,3238.0,320,-300.0,2938.0,5,0,5,0,0,5,0.0,
2026-07-01,2938.0,270,-260.0,2678.0,5,0,5,0,0,5,0.0,
2026-07-02,2678.0,0,0,2678.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-07-03,2678.0,10,-10.0,2668.0,1,0,1,0,0,1,0.0,
2026-07-04,2668.0,10,-10.0,2658.0,1,0,1,0,0,1,0.0,
2026-07-05,2658.0,360,-340.0,2318.0,5,0,5,0,0,5,0.0,
2026-07-06,2318.0,10,-10.0,2308.0,1,0,1,0,0,1,0.0,
2026-07-07,2308.0,10,-10.0,2298.0,1,0,1,0,0,1,0.0,
2026-07-08,2298.0,80,-80.0,2218.0,2,0,2,0,0,2,0.0,
2026-07-09,2218.0,10,-10.0,2208.0,1,0,1,0,0,1,0.0,
2026-07-10,2208.0,220,-220.0,1988.0,5,0,5,0,0,5,0.0,
2026-07-11,1988.0,100,-100.0,1888.0,4,0,4,0,0,4,0.0,
2026-07-12,1888.0,70,18.0,1906.0,5,1,4,0,0,5,4.906,
2026-07-13,1906.0,0,0,1906.0,0,0,0,0,0,0,0,無賽事
