date,bankroll_open,total_bet,total_pnl,bankroll_close,bets_count,wins,losses,voids,single_bets,parlay_bets,highest_odds_hit,notes
2026-06-01,3000.0,0,0,3000.0,0,0,0,0,0,0,0,無賽事
2026-06-02,3000.0,60,-60.0,2940.0,2,0,2,0,0,2,0.0,
2026-06-03,2940.0,10,-10.0,2930.0,1,0,1,0,0,1,0.0,
2026-06-04,2930.0,0,0,2930.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-05,2930.0,0,0,2930.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-06,2930.0,70,160.0,3090.0,2,1,1,0,0,2,3.834,
2026-06-07,3090.0,10,-10.0,3080.0,1,0,1,0,0,1,0.0,
2026-06-08,3080.0,10,-10.0,3070.0,1,0,1,0,0,1,0.0,
2026-06-09,3070.0,80,280.0,3350.0,2,2,0,0,0,2,4.505,
2026-06-10,3350.0,190,-190.0,3160.0,3,0,3,0,0,3,0.0,
2026-06-11,3160.0,0,0,3160.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-12,3160.0,170,704.0,3864.0,3,2,1,0,0,3,8.353,
2026-06-13,3864.0,180,-180.0,3684.0,3,0,3,0,0,3,0.0,
2026-06-14,3684.0,140,-140.0,3544.0,3,0,3,0,0,3,0.0,
2026-06-15,3544.0,0,0,3544.0,0,0,0,0,0,0,0,無賽事
2026-06-16,3544.0,90,-90.0,3454.0,2,0,2,0,0,2,0.0,
2026-06-17,3454.0,120,-120.0,3334.0,2,0,2,0,0,2,0.0,
2026-06-18,3334.0,60,0.0,3334.0,2,0,0,2,0,2,0.0,
2026-06-19,3334.0,10,-10.0,3324.0,1,0,1,0,0,1,0.0,
2026-06-20,3324.0,10,-10.0,3314.0,1,0,1,0,0,1,0.0,
2026-06-21,3314.0,130,-130.0,3184.0,3,0,3,0,0,3,0.0,
2026-06-22,3184.0,0,0,3184.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-23,3184.0,230,-230.0,2954.0,3,0,3,0,0,3,0.0,
2026-06-24,2954.0,10,-10.0,2944.0,1,0,1,0,0,1,0.0,
2026-06-25,2944.0,60,-60.0,2884.0,2,0,2,0,0,2,0.0,
2026-06-26,2884.0,0,0,2884.0,0,0,0,0,0,0,0,無賽事
2026-06-27,2884.0,10,24.0,2908.0,1,1,0,0,0,1,3.43,
2026-06-28,2908.0,10,-10.0,2898.0,1,0,1,0,0,1,0.0,
2026-06-29,2898.0,0,0,2898.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-30,2898.0,130,-130.0,2768.0,3,0,3,0,0,3,0.0,
2026-07-01,2768.0,80,-80.0,2688.0,2,0,2,0,0,2,0.0,
2026-07-02,2688.0,0,0,2688.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-07-03,2688.0,10,-10.0,2678.0,1,0,1,0,0,1,0.0,
2026-07-04,2678.0,10,-10.0,2668.0,1,0,1,0,0,1,0.0,
2026-07-05,2668.0,160,-160.0,2508.0,3,0,3,0,0,3,0.0,
2026-07-06,2508.0,10,-10.0,2498.0,1,0,1,0,0,1,0.0,
2026-07-07,2498.0,10,-10.0,2488.0,1,0,1,0,0,1,0.0,
2026-07-08,2488.0,70,-70.0,2418.0,2,0,2,0,0,2,0.0,
2026-07-09,2418.0,10,-10.0,2408.0,1,0,1,0,0,1,0.0,
2026-07-10,2408.0,110,-110.0,2298.0,3,0,3,0,0,3,0.0,
2026-07-11,2298.0,100,-90.0,2208.0,3,0,3,0,0,3,0.0,
2026-07-12,2208.0,60,87.0,2295.0,3,1,2,0,0,3,4.906,
2026-07-13,2295.0,0,0,2295.0,0,0,0,0,0,0,0,無賽事
